,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.86,0.96,1.09,0.97,1.04,1.02,1.26,1.02,1.1,1.08,1.24,1.04,1.04,1.08,1.19
f_1,1.18,1.0,0.96,0.98,0.94,0.92,0.9,1.03,0.94,1.07,0.92,0.94,0.85,0.98,1.02,0.82
d_1,1.03,1.04,1.0,0.95,0.97,0.9,1.0,1.05,1.2,0.87,1.08,0.99,1.0,1.0,0.87,1.01
c_1,0.91,1.0,1.06,1.0,1.27,1.02,0.98,0.75,0.84,0.94,0.85,0.95,0.99,0.93,1.0,0.98
b_1,1.03,1.07,1.07,0.81,1.0,1.31,1.08,0.96,1.07,1.04,0.94,0.91,1.06,0.93,0.96,0.97
a_1,0.97,1.12,1.07,1.0,0.77,1.0,1.17,0.96,1.02,1.09,1.2,0.94,1.08,1.01,1.05,0.95
h_1,0.98,1.09,0.98,1.05,0.96,0.85,1.0,0.92,0.94,1.12,0.96,0.95,1.01,1.0,1.15,0.95
d_0,0.81,0.95,0.94,1.35,1.07,1.02,1.04,1.0,0.88,1.04,1.01,1.05,1.08,0.94,1.12,1.05
c_0,0.98,1.08,0.85,1.17,0.93,0.91,1.04,1.08,1.0,0.99,1.3,1.09,1.14,1.17,1.05,1.04
g_1,0.89,0.96,1.14,1.05,0.97,0.93,0.9,0.96,0.99,1.0,1.01,1.09,0.9,1.0,1.07,1.09
b_0,0.92,1.04,0.9,1.21,1.07,0.83,1.03,1.04,0.78,1.03,1.0,1.04,1.1,1.32,1.04,1.03
f_0,0.83,1.03,0.99,1.08,1.06,1.02,1.06,1.01,0.93,0.92,0.97,1.0,1.08,1.01,0.88,1.42
h_0,0.97,1.16,1.0,1.03,0.95,0.9,0.97,0.95,0.89,1.07,0.89,0.89,1.0,0.97,1.08,0.9
a_0,0.95,1.0,1.0,1.02,1.1,0.98,1.02,1.02,0.92,0.95,0.81,1.01,1.05,1.0,1.06,1.05
g_0,0.93,0.97,1.14,0.97,1.04,0.94,0.87,0.9,0.92,0.94,0.97,1.15,0.95,0.92,1.0,1.07
e_0,0.85,1.12,0.98,1.07,1.01,1.06,1.01,1.0,0.95,0.94,0.95,0.71,1.09,0.98,0.95,1.0
