,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.94,0.48,0.27,0.24,0.25,0.17,0.17,0.16,0.17,0.16,0.15,0.08,0.16,0.13,0.13,0.08
e_1,0.27,0.94,0.29,0.3,0.25,0.2,0.2,0.14,0.2,0.31,0.15,0.17,0.18,0.12,0.17,0.08
d_1,0.37,0.27,0.94,0.22,0.24,0.16,0.18,0.2,0.3,0.1,0.19,0.14,0.16,0.13,0.13,0.11
c_1,0.34,0.28,0.36,0.94,0.4,0.16,0.19,0.13,0.07,0.16,0.14,0.17,0.12,0.1,0.16,0.11
b_1,0.3,0.32,0.32,0.26,0.94,0.3,0.24,0.15,0.2,0.16,0.09,0.16,0.19,0.11,0.13,0.13
a_1,0.41,0.32,0.35,0.31,0.25,0.93,0.23,0.18,0.18,0.19,0.23,0.21,0.23,0.08,0.16,0.16
h_1,0.74,0.47,0.63,0.5,0.38,0.35,0.72,0.39,0.36,0.36,0.33,0.24,0.2,0.21,0.34,0.22
g_1,0.51,0.54,0.73,0.62,0.44,0.34,0.32,0.73,0.39,0.3,0.33,0.44,0.27,0.22,0.2,0.21
c_0,0.66,0.55,0.51,0.44,0.5,0.49,0.38,0.35,0.62,0.41,0.59,0.39,0.31,0.31,0.3,0.23
d_0,0.67,0.47,0.32,0.94,0.54,0.4,0.35,0.41,0.3,0.59,0.32,0.33,0.32,0.23,0.28,0.25
b_0,0.7,0.57,0.57,0.68,0.31,0.39,0.4,0.43,0.34,0.4,0.62,0.36,0.31,0.44,0.32,0.32
f_0,0.31,0.55,0.65,0.62,0.59,0.5,0.53,0.29,0.38,0.43,0.41,0.6,0.34,0.28,0.27,0.48
h_0,0.83,0.56,0.67,0.62,0.54,0.4,0.26,0.55,0.43,0.4,0.38,0.4,0.23,0.35,0.4,0.22
a_0,0.66,0.68,0.8,0.64,0.66,0.23,0.51,0.54,0.4,0.38,0.37,0.43,0.37,0.61,0.32,0.23
g_0,0.66,0.58,0.91,0.63,0.55,0.54,0.44,0.3,0.4,0.42,0.37,0.5,0.33,0.3,0.19,0.42
e_0,0.83,0.3,0.74,0.81,0.56,0.43,0.53,0.43,0.43,0.46,0.39,0.36,0.48,0.37,0.21,0.6
