,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.67,1.37,1.29,1.41,1.46,1.14,0.47,0.5,0.44,0.7,0.44,0.62,0.29,0.43,0.43,0.39
e_1,0.97,0.66,1.29,1.54,1.37,1.33,0.83,0.69,0.51,0.63,0.63,0.7,0.5,0.49,0.78,0.58
d_1,1.6,1.71,0.64,1.33,1.74,1.06,0.62,0.82,0.65,0.42,0.45,0.47,0.42,0.54,0.45,0.29
c_1,1.47,1.42,1.68,0.64,1.6,1.33,0.59,0.35,0.62,0.61,0.44,0.48,0.45,0.47,0.48,0.44
b_1,1.57,1.51,1.41,0.95,0.63,2.02,0.84,0.6,0.71,0.76,1.21,0.56,0.49,0.5,0.51,0.55
a_1,2.36,1.65,2.12,1.8,0.99,0.57,0.8,0.66,0.64,1.05,0.71,0.65,0.46,1.04,0.58,0.42
h_1,2.58,1.97,2.32,2.22,1.78,1.87,0.58,0.72,0.79,1.1,0.75,0.64,1.03,0.67,0.64,0.68
d_0,2.48,1.4,3.22,3.07,2.34,2.18,1.18,0.63,1.02,1.09,0.71,0.94,0.74,0.84,0.86,0.83
c_0,2.56,2.62,1.38,4.96,2.18,2.43,1.11,1.02,0.61,1.16,1.08,0.72,0.85,0.81,0.77,0.65
g_1,2.29,2.64,2.72,2.76,2.41,1.62,0.82,0.85,0.83,0.55,0.95,1.0,0.59,0.75,0.78,0.85
b_0,2.71,2.06,2.39,3.27,2.95,2.49,1.08,1.0,0.59,0.94,0.6,0.83,0.73,1.0,0.74,0.56
f_0,5.29,2.26,2.33,3.01,2.17,2.27,1.39,1.03,1.04,0.74,1.17,0.58,0.83,0.96,1.22,0.59
h_0,3.0,2.41,2.56,2.75,2.53,2.75,1.75,0.93,0.95,1.27,1.02,0.96,1.06,0.85,0.86,0.86
a_0,3.27,2.75,2.25,2.71,3.88,3.4,1.2,1.03,0.93,1.59,0.63,0.9,1.13,0.57,0.83,0.89
e_0,3.79,3.62,2.77,2.83,3.21,2.48,1.38,1.11,1.01,1.2,1.23,0.59,0.97,1.07,0.58,0.78
g_0,3.52,2.79,2.97,3.09,2.54,2.97,1.1,1.15,1.09,1.71,1.22,1.03,0.71,1.12,0.87,1.04
