,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.19,1.04,0.81,0.8,0.61,0.41,0.39,0.39,0.36,0.34,0.3,0.27,0.25,0.31,0.27
e_1,0.84,1.0,1.0,0.78,0.89,0.71,0.51,0.67,0.54,0.4,0.41,0.46,0.36,0.39,0.37,0.32
c_1,0.95,0.99,1.0,1.1,1.28,0.76,0.51,0.31,0.46,0.3,0.33,0.34,0.31,0.27,0.26,0.3
d_1,1.24,1.27,0.91,1.0,0.88,0.68,0.6,0.49,0.37,0.6,0.46,0.39,0.4,0.4,0.38,0.28
b_1,1.23,1.14,0.78,1.14,1.0,1.37,0.52,0.53,0.43,0.55,0.37,0.46,0.4,0.36,0.31,0.32
a_1,1.63,1.39,1.3,1.46,0.74,1.0,0.73,0.69,0.59,0.53,0.62,0.5,0.49,0.45,0.46,0.45
h_1,2.49,1.95,1.97,1.68,1.99,1.33,1.0,0.79,0.99,0.82,0.73,0.74,0.66,0.68,0.6,0.65
d_0,2.39,1.49,3.29,2.1,2.01,1.44,1.23,1.0,1.08,0.81,0.79,0.73,0.78,0.85,0.75,0.75
g_1,2.46,1.87,2.25,2.73,2.25,1.76,1.01,0.93,1.0,0.96,0.89,1.0,0.63,0.81,0.66,0.69
c_0,2.9,2.54,3.05,1.61,1.76,1.85,1.18,1.27,1.03,1.0,1.48,1.01,0.79,0.75,0.9,0.74
b_0,3.14,2.37,3.03,2.14,2.84,1.6,1.42,1.21,1.12,0.71,1.0,0.95,0.79,0.88,1.14,0.79
f_0,3.01,2.2,2.94,2.53,2.35,2.1,1.3,1.33,0.98,0.98,1.0,1.0,0.9,1.2,0.74,0.65
h_0,3.61,2.82,3.24,2.64,2.6,2.06,1.57,1.25,1.6,1.23,1.17,1.07,1.0,0.98,0.85,1.17
e_0,3.8,2.66,3.67,2.59,2.93,2.37,1.49,1.19,1.29,1.32,1.11,0.89,1.0,1.0,0.88,0.9
a_0,3.23,2.88,3.59,2.64,3.34,2.02,1.67,1.33,1.53,1.16,0.89,1.39,1.2,1.19,1.0,1.12
g_0,3.54,3.06,3.39,3.53,2.98,2.14,1.52,1.36,1.49,1.33,1.22,1.5,0.84,1.05,0.86,1.0
