,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.06,1.46,2.29,2.37,2.32,1.91,1.0,0.89,0.8,0.58,0.66,0.7,0.54,0.54,0.55,0.99
f_1,2.45,1.06,1.99,2.27,2.02,1.82,0.71,0.82,0.67,0.74,0.65,0.89,0.36,0.49,0.53,0.53
d_1,2.53,2.78,1.06,2.07,2.25,2.17,0.86,0.63,1.41,0.73,0.69,0.6,0.59,0.34,0.58,0.59
c_1,2.09,2.53,3.1,1.07,2.65,1.87,0.96,0.8,0.47,0.92,0.53,0.63,0.58,0.57,0.57,0.52
b_1,2.56,3.21,2.54,1.7,1.07,2.45,0.95,1.15,0.79,1.16,1.14,0.78,0.67,0.6,0.74,0.7
a_1,3.91,3.9,3.7,3.77,2.18,1.07,1.6,1.59,1.18,0.9,1.09,0.95,0.82,0.82,1.14,0.79
h_1,5.24,6.14,5.43,6.05,6.08,4.45,1.33,2.08,1.77,1.53,1.46,1.85,1.68,1.38,1.43,1.28
g_1,6.93,7.13,7.03,6.92,7.22,5.13,2.3,1.34,1.94,1.92,1.85,2.1,1.3,2.09,2.02,1.86
d_0,4.56,6.97,8.8,8.73,6.53,6.07,3.09,3.12,1.54,1.88,2.07,2.11,1.7,1.66,1.73,1.86
c_0,8.97,7.54,4.72,11.3,6.04,8.28,3.26,2.63,3.07,1.52,3.33,2.1,1.84,1.9,1.73,1.73
b_0,8.19,8.18,7.75,11.63,10.97,7.12,3.17,3.48,2.44,1.42,1.54,2.35,2.04,1.94,2.32,2.04
f_0,7.88,14.25,8.05,9.58,7.59,7.6,2.55,2.09,2.53,2.23,2.84,1.57,2.39,1.55,2.58,2.45
h_0,9.73,12.61,8.64,9.27,8.4,7.37,4.68,3.91,2.87,3.17,2.58,2.3,2.8,2.38,2.16,2.37
g_0,12.36,12.47,12.75,10.98,10.46,9.84,3.22,4.83,3.54,2.78,2.9,2.95,2.05,3.05,2.75,2.32
a_0,13.09,13.44,10.71,10.9,12.05,14.46,4.24,3.62,3.5,3.26,1.89,2.56,2.68,2.96,1.66,2.58
e_0,12.62,14.82,11.36,12.71,11.43,9.34,4.57,3.95,3.67,3.55,3.35,1.91,3.03,2.77,3.33,1.65
