,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.32,0.76,1.38,0.84,0.68,0.61,1.51,1.13,1.66,1.76,1.53,0.98,2.11,1.36,1.67,0.93
d_1,0.92,2.39,0.79,0.59,0.77,0.67,1.65,1.53,3.01,1.14,2.04,1.74,2.05,1.54,2.38,1.42
e_1,0.99,0.76,2.39,0.95,0.71,0.62,1.51,1.5,1.58,2.92,1.66,1.69,2.44,1.26,1.87,0.87
c_1,0.85,0.83,0.73,2.54,1.39,0.64,1.35,1.26,0.94,1.5,0.99,1.4,1.85,1.19,1.91,1.33
b_1,0.84,0.86,0.77,0.79,2.61,1.36,1.53,1.34,1.33,1.53,0.93,1.49,1.89,0.94,1.69,1.54
a_1,0.99,0.96,0.87,0.8,0.74,2.94,1.68,1.54,1.53,1.62,1.73,1.57,2.33,0.87,2.04,1.21
h_1,1.26,0.94,0.96,0.87,0.8,0.72,3.29,1.79,1.95,1.51,1.65,1.76,1.62,1.58,2.62,1.48
g_1,0.86,1.43,0.75,0.82,0.87,0.61,1.7,3.52,2.12,1.47,1.93,2.52,2.56,1.49,1.66,1.92
c_0,1.03,1.14,0.82,0.75,0.65,0.71,1.74,1.74,3.15,1.72,3.66,1.9,2.55,2.11,2.18,1.64
d_0,0.93,0.5,0.83,1.75,0.91,0.73,1.57,1.75,1.33,2.98,1.82,1.78,2.33,1.49,2.2,1.67
b_0,0.94,1.16,0.89,0.99,0.47,0.52,1.93,1.61,2.03,2.14,3.37,1.96,2.69,3.59,2.38,1.57
f_0,0.84,1.05,0.85,0.97,0.77,0.81,1.86,1.63,1.83,1.96,1.77,3.27,2.52,1.71,2.39,3.56
h_0,1.13,1.09,0.86,0.93,0.85,0.71,1.25,1.94,1.91,1.95,1.97,1.6,1.72,1.83,2.88,1.6
a_0,0.95,0.93,0.92,1.01,0.78,0.48,1.9,1.68,1.88,2.0,1.91,2.06,2.96,3.58,2.43,1.91
g_0,0.95,1.34,0.82,0.83,0.89,0.7,1.62,1.3,2.28,1.85,1.78,2.62,2.21,1.81,1.83,1.9
e_0,0.94,1.13,0.73,0.94,0.98,0.76,1.96,1.48,1.82,1.77,1.91,1.66,2.4,1.64,2.28,3.6
