,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,14.96,0.53,0.8,0.46,0.55,0.46,0.91,2.27,0.71,0.94,0.98,1.1,1.05,1.08,0.65,0.92
f_1,1.35,16.41,0.5,0.52,0.4,0.62,0.72,0.77,0.64,0.75,0.9,0.35,0.84,0.77,0.56,0.82
c_1,0.45,0.58,16.74,0.53,1.29,0.49,1.03,0.79,0.85,0.28,0.58,0.97,0.88,0.87,0.93,0.69
d_1,0.47,0.64,0.46,20.04,0.54,0.45,0.82,0.35,1.12,2.28,1.3,1.01,1.04,1.26,1.0,1.08
b_1,0.39,0.48,0.62,0.57,20.63,1.47,0.77,0.75,0.86,0.92,0.42,0.95,0.88,0.57,0.95,1.11
a_1,0.68,0.68,0.42,0.62,0.56,29.11,1.17,0.89,0.87,0.84,0.92,0.71,1.05,0.35,1.05,0.97
h_1,0.69,1.29,0.7,0.64,0.75,0.63,5.77,1.06,1.76,0.86,1.09,1.23,0.65,1.22,1.05,1.41
d_0,0.61,0.66,2.19,0.37,0.65,0.62,1.17,2.96,1.14,0.73,1.3,1.2,1.08,1.03,1.38,1.37
g_1,0.6,0.57,0.64,1.73,0.65,0.6,0.9,0.75,6.35,1.32,1.12,2.1,1.41,0.8,1.53,0.79
c_0,0.66,0.86,0.36,1.02,0.47,0.73,1.26,1.21,1.06,3.25,3.44,1.58,1.47,1.68,1.32,1.46
b_0,0.79,0.85,0.84,0.85,0.3,0.55,1.15,1.19,1.45,1.2,3.54,1.41,1.33,3.29,1.35,1.21
f_0,0.52,0.36,0.92,1.04,0.78,0.67,1.15,1.16,1.41,1.14,1.34,3.93,1.34,1.51,3.16,1.48
h_0,0.7,1.22,0.68,1.05,0.55,0.75,0.55,1.12,1.57,1.11,1.22,1.04,0.72,1.17,1.18,2.05
a_0,0.73,1.02,0.78,0.78,0.51,0.46,1.02,1.34,1.06,1.46,1.47,1.1,1.49,4.65,1.36,1.27
e_0,0.38,0.79,0.85,0.85,0.86,0.9,1.14,1.08,1.37,0.96,1.37,1.17,1.52,1.06,4.84,1.42
g_0,0.6,0.61,0.62,1.74,0.62,0.75,1.25,0.9,0.75,1.31,1.13,2.42,1.23,1.12,1.32,0.78
