,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,5.91,2.22,1.87,3.0,2.23,1.96,7.99,8.49,9.05,18.42,11.61,10.97,16.09,7.6,18.61,11.82
f_1,3.61,5.98,2.02,2.16,1.82,2.02,7.28,7.55,10.08,11.0,6.66,10.16,14.28,8.15,12.71,10.55
d_1,2.09,2.4,6.51,1.93,1.97,2.2,8.41,7.79,19.4,6.49,11.13,12.92,18.29,12.21,16.34,11.4
c_1,1.93,2.35,2.02,6.88,4.32,2.3,8.1,7.43,5.3,10.0,9.97,7.12,16.12,9.85,14.49,10.88
b_1,2.02,2.01,2.23,2.1,8.08,4.54,8.66,7.75,9.73,9.39,10.15,5.61,14.38,13.67,14.85,9.24
a_1,2.15,2.4,2.69,2.18,2.17,10.21,8.65,9.19,10.61,9.72,10.33,9.77,18.33,10.33,15.75,6.29
h_1,2.36,3.29,2.46,2.48,2.03,2.4,17.81,13.16,11.59,11.06,10.07,10.91,12.61,13.8,19.94,10.85
g_1,2.39,2.23,3.53,2.34,1.77,2.55,8.83,21.73,12.22,10.45,16.35,11.7,13.18,13.38,13.91,12.49
c_0,2.54,2.52,3.04,1.77,1.82,2.69,8.33,9.78,19.14,12.04,13.17,23.38,16.51,13.65,16.25,16.2
d_0,2.44,2.63,1.49,4.74,2.88,2.3,7.84,8.57,6.93,18.06,12.13,10.17,17.53,11.44,17.69,11.57
f_0,2.07,1.92,2.46,3.07,2.87,2.36,9.46,8.65,12.07,12.85,21.27,13.28,17.9,26.03,20.21,12.26
b_0,2.38,2.5,2.95,2.69,1.97,1.92,8.91,10.41,12.22,12.55,13.2,22.5,19.99,14.98,16.03,30.58
h_0,2.35,3.02,2.84,2.52,2.31,2.47,5.91,11.21,10.84,12.19,10.93,11.62,13.0,11.32,24.84,13.02
e_0,1.5,3.04,2.55,2.82,2.53,2.68,10.29,10.76,11.25,9.04,11.97,12.52,18.49,28.16,17.24,11.4
g_0,2.09,2.16,3.7,2.55,2.53,2.51,9.49,6.41,12.14,10.18,18.21,11.72,16.87,17.24,16.2,13.14
a_0,2.21,2.78,3.09,2.65,2.59,1.55,9.71,9.01,8.84,12.1,12.38,11.38,17.56,12.64,17.71,29.8
