,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.65,0.7,0.93,1.07,0.95,0.87,0.43,0.51,0.34,0.4,0.38,0.39,0.28,0.33,0.38,0.29
f_1,1.05,0.65,0.89,0.93,0.89,0.74,0.36,0.43,0.32,0.36,0.35,0.33,0.23,0.32,0.29,0.27
d_1,1.09,1.04,0.64,0.9,0.89,0.8,0.46,0.31,0.4,0.44,0.35,0.32,0.25,0.31,0.33,0.2
c_1,0.82,0.97,1.27,0.62,1.19,0.95,0.44,0.43,0.4,0.25,0.35,0.33,0.29,0.35,0.3,0.26
b_1,1.04,1.15,1.04,0.68,0.62,1.31,0.51,0.46,0.51,0.37,0.44,0.37,0.37,0.31,0.33,0.3
a_1,1.29,1.51,1.13,1.21,0.68,0.57,0.59,0.55,0.49,0.56,0.54,0.4,0.39,0.55,0.42,0.38
h_1,1.6,1.62,1.53,1.64,1.39,1.21,0.53,0.71,0.53,0.56,0.56,0.52,0.49,0.53,0.44,0.49
g_1,1.51,1.7,1.85,1.77,1.7,1.45,0.61,0.51,0.67,0.61,0.55,0.61,0.44,0.51,0.54,0.51
c_0,1.88,2.01,1.23,2.24,1.54,1.41,0.85,0.68,0.54,0.88,0.7,0.59,0.51,0.64,0.57,0.48
d_0,1.32,1.6,2.1,2.13,1.83,1.37,0.8,0.88,0.58,0.56,0.68,0.62,0.58,0.58,0.57,0.54
b_0,1.72,1.85,1.6,2.31,1.93,1.44,0.81,0.81,0.44,0.64,0.53,0.59,0.49,0.66,0.57,0.48
f_0,1.69,2.36,2.06,1.89,1.81,1.65,0.85,0.63,0.7,0.7,0.68,0.54,0.57,0.64,0.69,0.42
h_0,2.07,2.25,2.0,2.07,1.77,1.77,1.06,0.9,0.77,0.77,0.76,0.64,0.66,0.63,0.68,0.69
a_0,1.93,2.13,2.01,2.18,2.46,1.82,0.89,0.97,0.62,0.76,0.5,0.78,0.67,0.52,0.75,0.53
e_0,2.05,2.58,2.11,2.05,1.98,1.88,1.09,0.86,0.78,0.78,0.87,0.53,0.59,0.67,0.52,0.62
g_0,2.17,2.28,2.38,2.17,2.11,1.67,0.85,0.98,0.8,0.77,0.86,0.85,0.52,0.71,0.77,0.71
