,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.93,0.65,0.36,0.36,0.31,0.19,0.33,0.32,0.27,0.34,0.31,0.2,0.34,0.22,0.15,0.25
e_1,0.45,0.92,0.32,0.45,0.36,0.24,0.37,0.35,0.29,0.6,0.3,0.3,0.36,0.24,0.16,0.29
d_1,0.44,0.4,0.92,0.3,0.34,0.24,0.39,0.63,0.29,0.27,0.41,0.39,0.38,0.25,0.25,0.31
c_1,0.38,0.38,0.38,0.91,0.61,0.23,0.31,0.2,0.26,0.29,0.22,0.33,0.34,0.22,0.2,0.29
b_1,0.41,0.34,0.45,0.37,0.91,0.44,0.39,0.31,0.27,0.29,0.23,0.29,0.35,0.17,0.23,0.33
a_1,0.44,0.36,0.41,0.44,0.33,0.89,0.42,0.36,0.31,0.34,0.32,0.33,0.37,0.18,0.2,0.31
h_1,0.55,0.44,0.46,0.36,0.37,0.22,0.65,0.36,0.39,0.37,0.36,0.35,0.29,0.24,0.23,0.42
c_0,0.49,0.45,0.47,0.37,0.31,0.22,0.38,0.61,0.29,0.34,0.63,0.34,0.4,0.34,0.25,0.3
g_1,0.41,0.39,0.61,0.39,0.36,0.25,0.37,0.43,0.62,0.34,0.32,0.52,0.39,0.26,0.26,0.27
d_0,0.49,0.43,0.26,0.68,0.38,0.25,0.31,0.28,0.28,0.52,0.32,0.31,0.37,0.29,0.19,0.28
b_0,0.51,0.43,0.46,0.43,0.33,0.16,0.32,0.43,0.35,0.42,0.54,0.34,0.44,0.52,0.27,0.34
f_0,0.36,0.38,0.45,0.45,0.47,0.27,0.39,0.39,0.33,0.35,0.38,0.54,0.41,0.3,0.45,0.29
h_0,0.57,0.41,0.45,0.43,0.37,0.24,0.29,0.39,0.38,0.36,0.36,0.32,0.31,0.25,0.22,0.41
a_0,0.51,0.42,0.42,0.44,0.46,0.16,0.46,0.39,0.32,0.4,0.37,0.38,0.39,0.49,0.23,0.34
e_0,0.46,0.36,0.41,0.44,0.46,0.26,0.42,0.37,0.32,0.39,0.35,0.34,0.4,0.29,0.48,0.39
g_0,0.38,0.37,0.6,0.42,0.4,0.22,0.39,0.4,0.27,0.33,0.31,0.5,0.33,0.24,0.26,0.29
