,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.38,1.21,0.63,0.63,0.45,0.61,0.89,0.82,0.83,0.83,0.94,0.39,0.84,0.91,0.86,0.6
e_1,0.7,2.54,0.8,0.57,0.65,0.57,0.92,0.78,1.65,1.0,0.96,0.99,0.98,1.03,0.87,0.65
c_1,0.6,0.59,2.7,0.6,1.3,0.56,0.88,0.86,0.88,0.36,0.6,0.92,0.97,0.77,0.84,1.02
d_1,0.74,0.6,0.51,2.88,0.56,0.66,0.97,0.96,0.4,1.75,1.17,1.22,0.89,1.08,1.19,1.08
b_1,0.67,0.49,0.73,0.64,3.27,1.23,0.94,0.9,0.92,0.81,0.41,0.91,1.04,0.57,1.01,0.86
a_1,0.81,0.63,0.7,0.59,0.65,4.68,0.88,0.89,0.95,0.91,0.8,0.77,1.08,0.39,0.82,0.66
h_1,1.16,0.77,0.66,0.92,0.63,0.73,2.71,1.27,0.97,1.07,1.25,0.88,0.74,1.11,1.54,0.95
g_1,0.7,0.64,0.74,1.37,0.67,0.69,1.01,3.16,1.02,1.15,1.29,1.72,1.18,1.32,0.78,1.49
d_0,0.78,0.68,1.6,0.51,0.81,0.51,1.17,1.14,2.02,0.77,1.16,1.33,1.27,1.34,1.09,1.35
c_0,0.87,0.79,0.56,0.97,0.47,0.85,0.96,1.21,1.31,2.21,2.6,1.29,1.45,1.54,1.48,1.41
b_0,0.85,0.8,0.74,1.07,0.36,0.69,1.1,1.31,0.99,1.18,2.61,1.24,1.29,2.53,1.23,1.42
f_0,0.58,0.6,0.88,1.03,0.75,0.56,1.13,1.3,1.23,1.39,1.45,2.86,1.47,1.48,1.42,3.0
h_0,1.07,0.71,0.84,0.99,0.75,0.65,0.72,1.52,1.01,1.04,1.27,1.02,0.77,1.24,1.44,1.3
a_0,0.82,0.84,0.93,0.95,0.67,0.45,1.14,1.28,0.96,0.88,1.46,1.5,1.11,3.22,1.16,1.53
g_0,0.74,0.7,0.7,1.43,0.64,0.63,1.06,0.88,0.82,1.1,1.45,2.0,1.16,1.25,0.73,1.47
e_0,0.83,0.33,0.9,0.85,1.07,0.81,1.05,1.03,1.16,1.12,1.52,1.45,1.42,1.09,1.27,3.92
