,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.42,0.56,0.99,1.06,0.98,0.86,0.27,0.22,0.3,0.19,0.24,0.2,0.15,0.26,0.16,0.17
f_1,0.91,0.41,0.85,1.03,0.93,0.77,0.2,0.24,0.3,0.19,0.27,0.19,0.11,0.19,0.19,0.15
d_1,1.08,1.07,0.4,1.02,0.87,0.87,0.24,0.28,0.17,0.2,0.19,0.21,0.13,0.17,0.17,0.09
c_1,0.78,1.03,1.28,0.4,0.92,0.82,0.27,0.13,0.28,0.27,0.19,0.18,0.14,0.17,0.19,0.15
b_1,1.0,1.33,1.07,0.62,0.38,1.02,0.3,0.2,0.3,0.32,0.22,0.3,0.16,0.23,0.2,0.14
a_1,1.34,1.58,1.34,1.13,0.62,0.33,0.43,0.3,0.35,0.3,0.23,0.43,0.17,0.29,0.36,0.18
h_1,1.71,1.73,1.69,1.69,1.73,1.62,0.29,0.36,0.54,0.34,0.33,0.34,0.3,0.29,0.26,0.25
d_0,1.24,1.65,2.47,2.05,2.18,1.67,0.63,0.3,0.71,0.39,0.4,0.38,0.28,0.43,0.39,0.34
g_1,2.01,1.96,1.99,2.1,1.83,1.79,0.4,0.4,0.27,0.39,0.34,0.36,0.21,0.31,0.29,0.27
c_0,2.13,1.83,1.17,3.14,2.06,2.27,0.59,0.62,0.52,0.29,0.4,0.43,0.29,0.4,0.32,0.27
f_0,1.92,2.4,2.31,2.03,2.1,1.82,0.59,0.44,0.4,0.43,0.29,0.39,0.29,0.45,0.39,0.2
b_0,1.93,2.04,1.76,3.15,2.9,2.14,0.59,0.47,0.66,0.27,0.42,0.28,0.31,0.42,0.39,0.34
h_0,2.42,2.28,2.42,2.46,2.27,1.94,0.86,0.53,0.76,0.5,0.51,0.53,0.41,0.39,0.48,0.36
e_0,2.94,3.12,2.45,2.66,2.39,2.06,0.72,0.58,0.63,0.59,0.3,0.46,0.36,0.25,0.52,0.31
a_0,2.5,2.43,2.33,3.21,3.47,2.95,0.7,0.52,0.74,0.4,0.48,0.26,0.45,0.38,0.27,0.34
g_0,2.87,2.69,2.5,2.64,2.53,2.4,0.56,0.58,0.88,0.51,0.51,0.53,0.32,0.47,0.48,0.4
