,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.44,1.21,0.72,0.76,0.66,0.8,1.28,1.64,1.64,1.67,1.74,0.76,1.6,1.87,1.17,2.14
e_1,0.65,2.47,0.57,0.84,0.91,0.78,1.62,1.27,1.73,2.8,1.72,1.66,2.05,2.06,0.98,2.07
d_1,0.86,0.86,2.5,0.7,0.68,0.78,1.55,1.31,2.59,0.56,1.92,2.12,1.6,2.06,1.72,1.77
c_1,0.69,0.78,0.81,2.52,1.29,0.71,1.37,1.1,0.61,1.52,1.31,1.66,1.58,2.27,1.55,2.27
b_1,0.88,0.66,0.87,0.7,2.64,1.11,1.41,1.35,1.53,1.54,0.78,1.76,1.71,2.43,2.17,2.26
a_1,0.85,0.71,0.87,0.78,0.62,3.21,1.61,1.65,1.57,1.92,1.58,1.7,0.7,2.15,1.97,2.46
h_1,1.3,0.92,1.13,1.06,0.96,0.71,4.01,2.67,2.45,1.87,2.45,1.93,2.22,1.6,1.85,3.2
g_1,1.01,0.84,1.46,1.26,0.78,0.83,1.53,4.38,1.69,1.96,2.2,3.25,2.09,2.5,2.65,1.39
c_0,1.07,1.03,0.99,0.67,0.89,1.13,2.01,2.71,3.86,2.19,4.09,2.47,2.68,2.8,2.45,2.62
d_0,1.07,0.81,0.65,1.62,1.05,1.05,2.74,1.87,1.87,3.78,2.32,2.1,2.47,2.54,1.67,2.77
b_0,1.17,0.97,1.07,1.17,0.64,0.79,2.02,1.9,2.12,2.34,4.04,2.84,3.87,3.12,1.93,2.51
f_0,0.64,0.96,1.1,1.17,0.96,1.06,2.28,2.27,2.46,2.35,2.09,4.27,2.19,3.03,4.13,2.25
a_0,1.13,0.8,1.31,1.12,1.02,0.59,2.2,2.01,2.2,1.99,2.07,2.4,4.53,3.52,2.55,2.7
h_0,1.39,0.86,1.12,1.02,0.88,0.94,1.37,2.79,2.31,2.28,2.42,2.06,2.07,1.54,2.88,3.14
e_0,1.28,,1.18,1.2,0.82,1.05,2.7,2.27,2.22,2.68,2.91,1.89,1.93,2.63,5.17,2.87
g_0,0.95,0.96,1.58,0.97,0.89,0.95,1.93,1.56,2.24,1.63,2.24,3.1,2.34,2.37,2.29,1.59
