,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.79,0.95,0.99,0.85,0.69,0.52,0.41,0.44,0.56,0.4,0.45,0.35,0.35,0.36,0.35
f_1,1.27,1.0,0.9,0.94,0.77,0.74,0.39,0.4,0.4,0.41,0.38,0.36,0.3,0.32,0.24,0.31
d_1,1.04,1.12,1.0,0.8,0.84,0.77,0.5,0.59,0.37,0.44,0.41,0.39,0.36,0.35,0.39,0.28
c_1,1.01,1.07,1.24,1.0,1.23,0.81,0.55,0.44,0.54,0.34,0.44,0.41,0.38,0.33,0.34,0.34
b_1,1.17,1.3,1.2,0.83,1.0,1.31,0.6,0.51,0.49,0.47,0.44,0.44,0.43,0.37,0.41,0.41
a_1,1.44,1.36,1.29,1.22,0.76,1.0,0.71,0.62,0.63,0.55,0.69,0.61,0.56,0.62,0.48,0.48
h_1,1.89,2.52,2.01,1.85,1.62,1.3,1.0,0.82,1.07,0.86,0.85,0.8,0.73,0.69,0.67,0.76
c_0,2.36,2.58,1.75,2.27,1.85,1.67,1.23,1.0,1.06,1.1,1.27,0.9,0.88,0.9,0.75,0.77
g_1,2.25,2.48,2.72,1.88,2.07,1.57,0.95,0.95,1.0,0.88,0.95,1.03,0.66,0.83,0.74,0.69
d_0,1.86,2.34,2.22,2.99,2.18,1.72,1.16,0.9,1.1,1.0,1.01,0.85,0.86,0.82,0.77,0.81
b_0,2.55,2.61,2.36,2.32,2.24,1.36,1.2,0.81,1.02,0.96,1.0,0.91,0.8,1.32,0.82,0.76
f_0,2.18,2.85,2.53,2.44,2.28,1.73,1.24,1.07,0.95,1.13,1.06,1.0,0.98,0.98,1.17,0.7
h_0,2.86,3.25,2.7,2.62,2.37,1.83,1.34,1.13,1.52,1.17,1.29,1.01,1.0,0.92,0.84,1.0
a_0,2.87,3.2,2.74,3.2,2.58,1.64,1.46,1.15,1.24,1.25,0.8,1.04,1.1,1.0,0.89,0.86
e_0,2.94,4.22,2.57,2.91,2.37,2.02,1.46,1.35,1.32,1.32,1.28,0.87,1.18,1.08,1.0,0.97
g_0,2.82,3.09,3.54,3.07,2.52,2.14,1.28,1.31,1.53,1.18,1.37,1.46,1.0,1.09,1.0,1.0
