,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.08,2.48,2.54,2.64,2.35,1.95,0.63,0.46,0.48,0.69,0.53,0.42,0.46,0.3,0.41,0.25
f_1,2.2,1.08,2.38,2.48,2.31,1.99,0.55,0.81,0.46,0.58,0.45,0.63,0.43,0.26,0.44,0.38
e_1,2.82,1.71,1.1,2.81,2.55,2.58,0.82,0.7,0.6,0.62,0.6,0.65,0.57,0.35,0.72,0.42
c_1,3.67,2.75,2.08,1.1,2.39,2.49,0.82,0.76,0.68,0.32,0.52,0.52,0.47,0.42,0.54,0.38
b_1,3.45,3.05,2.84,1.71,1.11,2.97,0.89,0.93,0.79,0.6,0.9,0.65,0.59,0.47,0.66,0.5
a_1,4.58,4.91,4.84,4.61,2.56,1.12,1.52,1.48,1.01,1.23,1.26,1.03,1.53,0.73,0.93,0.71
h_1,8.1,10.1,8.86,8.93,8.75,9.01,1.47,2.55,1.64,2.02,1.68,1.61,1.75,1.59,1.47,1.25
g_1,10.32,11.76,11.46,12.82,10.19,8.88,2.66,1.56,2.21,2.72,2.27,2.09,2.21,1.29,1.99,2.18
c_0,7.41,13.45,10.96,16.03,13.99,11.36,3.53,2.97,1.77,3.63,2.65,2.28,2.46,1.64,2.32,1.64
d_0,18.99,12.73,7.4,12.87,12.48,12.33,4.21,4.03,2.84,1.82,2.44,2.75,2.51,1.8,2.67,1.94
b_0,10.79,15.77,11.99,16.35,19.97,11.64,4.09,3.71,1.8,3.05,1.87,2.71,3.16,2.24,2.43,1.95
f_0,13.22,20.48,13.24,13.47,13.66,12.49,3.96,2.76,2.79,3.02,2.71,1.89,2.42,2.19,2.46,1.37
a_0,18.79,18.86,17.48,20.54,22.98,20.82,5.64,5.53,3.25,3.9,2.26,3.37,2.06,2.42,2.74,2.35
h_0,19.62,18.47,18.88,17.05,17.23,14.87,6.83,5.8,4.14,4.0,3.69,3.81,3.48,3.33,3.62,2.93
e_0,17.08,31.54,23.07,19.91,19.83,15.88,4.9,4.98,3.69,4.36,3.44,2.2,3.31,2.68,2.09,2.26
g_0,20.06,24.58,20.01,19.78,20.39,22.31,4.99,8.36,4.33,4.24,3.95,3.71,4.22,2.6,3.79,3.05
