,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.75,0.91,1.14,0.95,0.67,0.76,0.64,0.6,1.0,0.68,0.68,0.68,0.72,0.7,0.62
f_1,1.33,1.0,0.93,0.87,0.84,0.83,0.58,0.7,0.67,0.6,0.5,0.64,0.55,0.48,0.58,0.49
d_1,1.1,1.08,1.0,0.97,0.97,0.86,0.73,0.51,0.85,0.64,0.65,0.69,0.62,0.54,0.46,0.41
c_1,0.88,1.14,1.04,1.0,1.38,0.91,0.77,0.74,0.47,0.48,0.57,0.57,0.65,0.5,0.61,0.57
b_1,1.05,1.19,1.03,0.72,1.0,1.21,0.78,0.84,0.76,0.68,0.71,0.61,0.68,0.7,0.58,0.69
a_1,1.5,1.21,1.17,1.1,0.83,1.0,0.91,0.71,0.74,0.65,0.73,0.69,0.59,0.67,0.67,0.57
h_1,1.32,1.77,1.36,1.34,1.24,1.11,1.0,1.25,0.93,0.95,0.85,0.86,0.76,0.78,0.88,0.81
g_1,1.49,1.48,1.92,1.32,1.14,1.35,0.81,1.0,0.92,0.88,1.22,0.91,0.7,0.77,0.75,0.88
c_0,1.7,1.48,1.23,2.02,1.29,1.42,1.06,1.06,1.0,1.08,1.2,1.35,0.98,0.9,0.9,1.04
d_0,1.0,1.64,1.38,2.19,1.48,1.51,1.04,1.08,0.97,1.0,0.97,0.94,0.81,0.94,0.91,0.96
f_0,1.4,1.84,1.45,1.81,1.35,1.42,1.18,0.79,0.89,1.07,1.0,1.02,0.86,1.28,0.8,0.89
b_0,1.4,1.51,1.54,1.77,1.69,1.4,1.14,1.05,0.75,1.08,0.99,1.0,0.99,1.12,0.99,1.28
h_0,1.47,1.87,1.69,1.66,1.47,1.58,1.3,1.43,1.03,1.25,1.11,1.04,1.0,0.9,1.12,0.95
e_0,1.36,2.2,1.93,1.97,1.41,1.59,1.26,1.29,0.99,1.05,0.79,0.91,1.1,1.0,0.77,0.94
g_0,1.44,1.69,2.22,1.67,1.65,1.38,1.11,1.3,1.09,1.15,1.29,1.02,0.89,1.27,1.0,0.9
a_0,1.62,2.03,2.44,1.8,1.47,1.56,1.22,1.14,0.98,1.19,1.07,0.79,1.01,1.02,1.13,1.0
