,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.96,0.57,0.74,0.51,0.56,0.43,0.42,0.61,0.38,0.37,0.39,0.33,0.37,0.28,0.31,0.24
f_1,0.94,0.96,0.61,0.52,0.5,0.42,0.4,0.43,0.34,0.36,0.3,0.32,0.31,0.25,0.3,0.2
c_1,0.58,0.64,0.96,0.62,0.87,0.45,0.43,0.35,0.33,0.27,0.35,0.26,0.38,0.26,0.33,0.23
d_1,0.67,0.75,0.52,0.96,0.53,0.41,0.44,0.36,0.34,0.57,0.37,0.41,0.38,0.29,0.34,0.25
b_1,0.64,0.68,0.54,0.64,0.95,0.77,0.47,0.41,0.4,0.4,0.38,0.33,0.37,0.28,0.28,0.26
a_1,0.76,0.7,0.7,0.79,0.56,0.95,0.52,0.48,0.47,0.45,0.48,0.43,0.44,0.24,0.35,0.35
h_1,0.92,1.11,0.86,0.96,0.79,0.57,0.82,0.55,0.64,0.53,0.51,0.44,0.47,0.37,0.49,0.34
d_0,0.85,0.91,1.46,0.8,0.94,0.61,0.69,0.75,0.54,0.41,0.52,0.44,0.58,0.43,0.46,0.4
g_1,0.92,0.96,0.98,1.21,0.85,0.58,0.64,0.63,0.79,0.62,0.71,0.51,0.5,0.38,0.45,0.39
c_0,1.11,1.12,0.94,0.92,0.73,0.62,0.75,0.81,0.58,0.75,0.61,0.81,0.57,0.54,0.49,0.42
f_0,0.97,1.04,1.1,1.04,0.94,0.57,0.75,0.67,0.57,0.62,0.73,0.6,0.66,0.47,0.5,0.68
b_0,1.08,1.2,1.16,0.92,0.79,0.6,0.78,0.8,0.61,0.59,0.55,0.75,0.59,0.74,0.48,0.45
h_0,1.17,1.38,0.98,1.16,0.97,0.69,0.69,0.68,0.75,0.67,0.57,0.61,0.56,0.49,0.62,0.45
a_0,1.16,1.27,1.18,1.01,0.95,0.76,0.91,0.81,0.71,0.65,0.67,0.56,0.64,0.69,0.53,0.51
g_0,1.11,1.14,0.98,1.36,1.06,0.76,0.85,0.72,0.62,0.79,0.85,0.66,0.57,0.5,0.53,0.52
e_0,1.09,1.28,1.33,1.32,0.98,0.65,0.86,0.78,0.72,0.71,0.54,0.59,0.69,0.54,0.62,0.67
