,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.07,3.03,2.24,4.37,3.15,3.15,1.4,1.3,1.08,1.06,1.18,1.09,0.85,0.84,1.99,0.78
d_1,4.32,1.07,3.14,3.49,3.99,3.0,1.22,0.78,1.11,2.92,0.87,0.75,0.81,0.77,0.81,0.49
f_1,3.62,3.66,1.07,3.11,3.34,3.03,1.08,1.39,0.95,1.08,1.6,0.9,0.56,0.84,0.73,0.87
c_1,3.02,4.22,4.29,1.07,4.37,2.6,1.19,1.99,1.91,0.63,1.11,0.88,0.86,0.98,0.96,0.73
b_1,4.2,3.87,4.16,2.19,1.07,3.95,1.59,1.34,1.22,1.1,1.08,2.36,0.94,1.23,1.31,0.9
a_1,4.94,4.98,5.92,5.5,2.69,1.07,2.12,2.09,1.56,1.88,1.69,2.32,1.23,3.47,1.1,1.2
h_1,6.54,7.31,7.13,7.38,6.32,6.97,1.39,2.63,1.92,1.86,2.02,2.06,2.49,1.63,1.59,1.66
g_1,8.19,10.24,8.04,7.8,8.12,6.31,2.74,1.38,2.25,2.97,2.42,2.36,1.19,2.14,2.09,3.3
c_0,8.6,5.13,9.56,21.74,11.48,8.29,3.71,3.21,1.59,3.85,2.23,2.77,1.79,2.81,2.62,2.28
d_0,5.62,17.56,9.16,9.72,8.93,7.31,4.01,3.43,2.67,1.64,2.7,2.95,1.95,2.4,2.35,2.41
f_0,8.16,9.18,24.81,9.2,10.0,9.89,4.12,2.61,2.97,3.02,1.59,2.8,2.53,2.74,3.28,1.88
b_0,10.05,10.12,10.95,16.91,16.51,6.43,3.54,3.24,1.81,2.88,2.55,1.62,2.84,3.36,2.4,1.84
h_0,12.07,11.98,15.01,11.59,10.05,11.35,9.11,6.37,4.45,4.01,3.36,2.8,4.21,2.94,2.75,2.98
a_0,15.23,12.47,11.7,12.36,12.72,,5.11,5.66,3.14,4.38,3.7,2.0,3.0,1.66,4.21,2.88
e_0,23.71,11.59,17.92,11.89,11.17,10.4,5.27,4.74,3.52,4.19,1.85,4.21,3.46,3.61,1.66,2.67
g_0,17.6,14.77,13.32,12.3,13.68,11.06,4.21,7.11,3.76,4.77,3.62,4.38,2.25,3.03,4.03,4.57
