,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,1.66,1.76,1.67,1.6,1.45,0.34,0.54,0.28,0.31,0.32,1.26,0.16,0.39,0.26,0.4
e_1,0.9,0.17,1.95,1.95,1.65,2.01,0.47,0.65,0.32,0.36,0.41,0.36,0.27,0.33,1.45,0.24
d_1,1.75,1.77,0.16,1.74,1.85,1.72,0.47,0.31,0.31,1.49,0.33,0.34,0.23,0.33,0.37,0.13
c_1,1.62,1.43,2.36,0.15,1.55,1.31,0.56,0.51,1.47,0.18,0.36,0.36,0.23,0.26,0.35,0.27
b_1,2.09,1.59,1.5,0.88,0.14,2.44,0.55,0.44,0.47,0.35,1.77,0.3,0.29,0.32,0.37,0.21
a_1,1.77,1.94,2.29,2.14,0.81,0.09,0.38,0.44,0.43,0.33,0.34,0.3,0.39,2.96,0.33,0.24
h_1,0.92,1.01,0.86,0.84,1.1,0.93,0.07,0.26,0.2,0.27,0.17,0.19,0.42,0.16,0.17,0.15
g_1,1.54,1.04,0.66,0.99,0.9,0.98,0.23,0.05,0.2,0.2,0.2,0.21,0.1,0.21,0.15,0.37
c_0,1.08,0.97,0.46,3.72,1.12,0.77,0.3,0.3,0.07,0.23,0.16,0.16,0.15,0.19,0.16,0.13
d_0,0.97,0.49,3.18,0.88,1.27,0.74,0.28,0.33,0.24,0.08,0.21,0.19,0.15,0.21,0.16,0.18
b_0,0.88,0.89,0.82,1.05,2.56,0.76,0.28,0.26,0.1,0.16,0.06,0.18,0.13,0.18,0.16,0.13
f_0,3.66,0.91,0.65,1.02,0.86,0.82,0.29,0.17,0.19,0.19,0.2,0.06,0.14,0.16,0.14,0.09
h_0,1.03,0.89,0.79,0.92,1.31,0.71,0.57,0.2,0.23,0.15,0.17,0.14,0.27,0.16,0.16,0.17
a_0,1.01,0.91,0.85,0.86,1.14,,0.3,0.27,0.16,0.17,0.08,0.24,0.13,0.05,0.18,0.17
e_0,0.94,2.35,0.72,0.8,0.98,0.96,0.29,0.31,0.2,0.18,0.16,0.12,0.09,0.16,0.04,0.14
g_0,0.93,1.06,0.73,0.93,0.99,1.2,0.19,,0.16,0.18,0.18,0.15,0.09,0.18,0.17,0.31
