,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.41,0.54,0.97,0.92,0.81,0.85,0.46,0.47,0.47,0.36,0.35,0.44,0.39,0.31,0.43,0.31
f_1,0.82,0.4,0.85,0.8,0.76,0.72,0.31,0.45,0.36,0.39,0.36,0.51,0.35,0.23,0.3,0.36
c_1,0.68,0.75,0.39,0.86,1.01,0.79,0.51,0.45,0.23,0.34,0.43,0.37,0.35,0.3,0.35,0.33
d_1,0.82,0.88,0.84,0.38,0.84,0.73,0.43,0.32,0.65,0.36,0.38,0.36,0.33,0.28,0.36,0.2
b_1,0.91,0.91,0.51,0.79,0.37,1.01,0.41,0.46,0.33,0.59,0.46,0.32,0.33,0.36,0.39,0.39
a_1,0.75,0.97,0.89,0.83,0.47,0.32,0.61,0.57,0.43,0.47,0.37,0.44,0.65,0.37,0.44,0.35
h_1,0.77,0.98,0.67,0.65,0.72,0.52,0.24,0.41,0.34,0.32,0.33,0.31,0.35,0.35,0.34,0.34
g_1,0.81,0.76,0.68,0.72,0.74,0.58,0.31,0.22,0.34,0.33,0.31,0.36,0.33,0.21,0.33,0.38
d_0,0.46,0.7,0.88,0.83,0.82,0.7,0.4,0.45,0.25,0.37,0.28,0.37,0.33,0.33,0.36,0.29
b_0,0.72,0.72,0.88,0.6,1.07,0.64,0.4,0.37,0.32,0.23,0.22,0.33,0.38,0.3,0.31,0.24
c_0,0.77,0.74,1.27,0.46,0.71,0.79,0.39,0.39,0.48,0.34,0.24,0.35,0.31,0.31,0.34,0.28
f_0,0.73,1.09,0.61,0.67,0.79,0.79,0.41,0.27,0.33,0.31,0.31,0.22,0.33,0.29,0.35,0.19
a_0,0.73,0.78,0.69,0.75,0.97,0.87,0.37,0.45,0.35,0.2,0.27,0.29,0.21,0.28,0.26,0.28
h_0,0.72,0.77,0.71,0.77,0.66,0.62,0.46,0.44,0.3,0.3,0.31,0.31,0.28,0.34,0.27,0.3
e_0,0.94,0.9,0.72,0.61,0.73,0.65,0.33,0.3,0.32,0.35,0.31,0.19,0.36,0.33,0.2,0.27
g_0,0.74,0.75,0.67,0.84,0.62,0.67,0.3,0.45,0.37,0.34,0.32,0.37,0.28,0.24,0.28,0.31
