,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.1,2.78,2.89,3.0,2.99,2.85,0.7,1.03,0.7,0.64,0.97,0.59,0.32,0.53,0.6,0.64
d_1,3.71,1.09,3.66,3.18,3.13,2.51,0.89,0.56,0.88,0.58,0.56,0.54,0.39,0.29,0.54,0.49
e_1,1.81,3.16,1.11,3.59,3.26,3.41,1.01,1.01,0.76,0.74,0.84,0.77,0.49,0.48,0.72,1.4
c_1,3.27,4.45,2.84,1.11,3.2,2.74,0.8,0.92,0.4,0.95,0.72,0.57,0.52,0.49,0.67,0.61
b_1,4.18,3.88,3.7,1.97,1.12,4.47,1.17,1.15,0.78,0.94,0.73,1.26,0.54,0.6,0.78,0.7
a_1,6.61,6.77,5.12,7.0,2.82,1.13,1.76,1.58,1.45,1.09,1.12,1.34,0.89,0.87,1.84,1.16
h_1,11.48,11.72,10.89,11.33,10.26,10.9,1.61,3.55,2.26,2.2,2.16,2.19,2.47,1.51,1.81,1.89
g_1,16.07,12.99,14.04,15.87,14.18,11.84,3.24,1.68,3.11,2.69,2.52,3.28,1.56,2.16,2.72,2.51
d_0,14.32,21.44,8.83,15.27,16.31,14.87,4.25,5.36,1.99,2.89,3.45,2.79,2.34,2.26,2.85,3.2
c_0,19.98,9.37,16.84,28.54,17.16,14.87,5.14,4.14,5.11,1.98,2.98,3.26,2.37,2.21,3.1,3.12
f_0,24.9,14.81,17.26,18.17,15.05,14.1,4.66,3.28,4.67,2.94,1.97,3.24,2.28,1.52,2.94,3.04
b_0,20.92,14.56,16.21,22.28,26.21,15.34,5.08,4.61,3.9,2.06,3.43,2.08,2.63,2.33,3.6,3.04
h_0,23.42,19.97,20.68,22.91,24.06,20.62,9.75,6.23,5.19,4.28,4.28,3.74,4.56,3.52,4.0,3.89
g_0,26.39,24.61,25.58,28.04,22.93,24.28,5.61,9.48,5.23,5.03,5.36,4.87,2.88,4.72,4.56,4.27
a_0,23.73,25.88,25.58,30.69,36.23,42.62,7.73,8.44,4.81,4.54,5.26,2.81,4.04,3.49,2.31,4.74
e_0,42.1,24.1,34.19,26.23,25.3,22.56,6.76,6.47,6.28,4.4,3.08,5.36,4.37,3.36,6.47,2.32
