,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.93,0.97,1.24,1.91,2.01,21.25,26.47,19.57,,51.09,40.53,94.9,82.42,65.49,87.15
f_1,1.08,1.0,1.41,1.36,1.16,2.89,13.69,29.17,24.8,30.76,,42.96,68.53,65.16,75.31,107.05
d_1,1.03,0.71,1.0,0.99,1.41,2.99,16.13,18.48,,40.48,37.26,46.65,85.16,82.22,82.03,74.67
e_1,0.81,0.73,1.01,1.0,1.21,2.78,14.99,18.99,32.52,25.85,40.54,38.0,85.84,,,93.17
b_1,0.52,0.87,0.71,0.83,1.0,3.26,16.2,19.17,26.65,25.87,28.5,,49.29,65.46,85.08,65.38
a_1,0.5,0.35,0.33,0.36,0.31,1.0,4.1,6.89,8.22,11.21,11.76,14.35,25.38,,,32.76
h_1,0.05,0.07,0.06,0.07,0.06,0.24,1.0,1.75,1.74,2.0,2.52,2.69,,2.93,4.2,8.13
g_1,0.04,0.03,0.05,0.05,0.05,0.15,0.57,1.0,1.18,1.5,2.43,1.89,2.75,4.85,3.6,
d_0,0.05,0.04,,0.03,0.04,0.12,0.57,0.85,1.0,1.3,1.83,1.35,2.48,,3.36,3.68
c_0,,0.03,0.02,0.04,0.04,0.09,0.5,0.67,0.77,1.0,1.21,1.87,2.52,,3.0,3.29
f_0,0.02,,0.03,0.02,0.04,0.09,0.4,0.41,0.55,0.82,1.0,1.45,1.6,2.47,,2.16
b_0,0.02,0.02,0.02,0.03,,0.07,0.37,0.53,0.74,0.53,0.69,1.0,2.29,1.7,,2.62
h_0,0.01,0.01,0.01,0.01,0.02,0.04,,0.36,0.4,0.4,0.62,0.44,,1.02,1.38,1.25
e_0,0.01,0.02,0.01,,0.02,,0.34,0.21,,,0.4,0.59,0.98,1.0,,1.27
a_0,0.02,0.01,0.01,,0.01,,0.24,0.28,0.3,0.33,,,0.73,,1.0,1.24
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.12,,0.27,0.3,0.46,0.38,0.8,0.78,0.8,
