,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.48,0.43,0.49,0.44,0.42,0.35,0.58,0.53,0.43,1.01,0.54,0.5,0.64,0.45,0.22,0.6
f_1,0.77,1.5,0.49,0.41,0.36,0.42,0.44,0.55,0.35,0.48,0.54,0.16,0.5,0.43,0.36,0.5
d_1,0.45,0.48,1.52,0.47,0.38,0.44,0.56,0.96,0.49,0.27,0.49,0.52,0.61,0.44,0.52,0.42
c_1,0.53,0.51,0.46,1.58,0.68,0.33,0.51,0.22,0.56,0.44,0.49,0.59,0.58,0.43,0.46,0.61
b_1,0.49,0.54,0.53,0.41,1.64,0.68,0.65,0.52,0.4,0.57,0.18,0.57,0.65,0.44,0.45,0.55
a_1,0.57,0.44,0.48,0.53,0.34,1.72,0.64,0.59,0.54,0.47,0.7,0.67,0.67,,0.56,0.65
h_1,0.64,1.04,0.7,0.72,0.57,0.5,1.68,0.78,1.05,0.89,0.95,0.92,0.62,0.69,0.79,1.05
c_0,0.83,0.84,0.68,0.4,0.63,0.62,1.1,1.51,0.98,0.9,1.58,0.96,1.15,1.05,0.9,1.02
g_1,0.62,0.8,0.98,0.63,0.96,0.68,0.75,0.83,1.78,0.78,0.9,1.03,0.75,0.69,0.64,0.42
d_0,0.62,0.95,0.46,1.31,0.66,0.58,0.75,0.89,0.87,1.48,0.99,0.82,1.12,0.73,0.74,1.09
b_0,0.73,0.86,0.92,0.74,0.76,0.41,0.88,0.89,0.86,0.89,1.55,1.02,0.81,1.57,0.85,0.92
f_0,0.68,0.54,0.84,0.82,0.73,0.73,0.93,1.01,0.88,1.07,0.84,1.59,1.01,0.95,1.35,0.91
h_0,0.82,1.09,0.82,0.8,0.75,0.47,0.6,0.77,1.09,0.79,1.04,0.88,0.52,0.68,0.7,1.02
a_0,0.88,0.94,0.94,0.92,0.77,,0.89,0.95,0.77,1.11,0.78,0.8,1.25,1.67,0.85,0.91
e_0,0.45,1.08,0.77,0.78,0.67,0.71,1.14,1.05,1.12,1.0,1.08,0.87,1.33,0.94,1.73,0.98
g_0,0.72,0.89,1.2,0.77,0.68,0.46,0.72,0.93,0.66,0.92,1.05,1.16,1.0,0.88,0.88,0.69
