,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.42,1.08,1.01,1.33,1.18,0.99,0.25,0.24,0.27,0.41,0.25,0.32,0.21,0.13,0.22,0.19
e_1,0.66,0.42,1.32,1.35,1.31,1.39,0.33,0.27,0.27,0.41,0.25,0.35,0.24,0.17,0.42,0.19
d_1,1.45,1.38,0.4,1.31,1.2,1.09,0.36,0.22,0.4,0.22,0.23,0.24,0.21,0.17,0.28,0.11
c_1,1.43,1.03,1.58,0.4,1.19,1.14,0.35,0.38,0.14,0.33,0.25,0.24,0.25,0.18,0.23,0.17
b_1,1.36,1.34,1.45,0.71,0.39,1.41,0.45,0.39,0.27,0.43,0.54,0.26,0.32,0.23,0.25,0.23
a_1,1.65,1.73,1.77,1.71,0.77,0.33,0.55,0.33,0.38,0.45,0.38,0.33,0.5,0.21,0.34,0.22
h_1,2.09,2.03,1.94,2.18,2.4,1.97,0.3,0.47,0.53,0.54,0.44,0.42,0.38,0.48,0.38,0.29
c_0,2.39,2.7,1.3,3.5,2.69,2.33,0.65,0.32,0.75,0.65,0.51,0.48,0.49,0.33,0.45,0.31
d_0,2.16,1.34,3.91,2.59,2.96,2.41,0.69,0.58,0.33,0.83,0.53,0.54,0.51,0.35,0.5,0.43
g_1,2.48,2.37,2.5,2.69,2.32,2.08,0.55,0.48,0.56,0.28,0.44,0.47,0.45,0.26,0.42,0.45
b_0,2.13,2.39,1.98,3.7,3.36,2.22,0.58,0.3,0.68,0.68,0.32,0.56,0.43,0.36,0.42,0.36
f_0,4.06,2.52,2.36,2.56,2.65,2.46,0.75,0.58,0.59,0.44,0.51,0.29,0.62,0.38,0.51,0.25
a_0,3.02,2.97,2.49,2.88,3.84,3.35,0.73,0.48,0.71,0.81,0.36,0.73,0.31,0.46,0.64,0.44
h_0,3.27,2.88,2.94,3.2,2.82,2.89,1.09,0.6,0.71,0.89,0.62,0.64,0.54,0.62,0.49,0.43
e_0,5.05,4.42,2.57,2.97,2.77,2.74,0.89,0.63,0.81,0.74,0.74,0.31,0.67,0.38,0.29,0.34
g_0,4.11,3.25,2.87,4.46,2.87,2.89,0.76,0.62,0.8,1.11,0.66,0.59,0.59,0.37,0.57,0.65
