,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,101.25,34.52,53.47,44.42,68.05,172.28,6617.58,18523.36,11112.74,13839.27,18966.04,32855.48,59305.95,57756.0,36037.96,94623.04
f_1,46.63,112.9,37.0,47.05,71.55,174.43,5394.49,11168.83,11603.5,13679.75,17122.9,14177.98,47361.12,54225.16,43752.8,96776.84
c_1,25.7,39.57,130.84,42.83,110.91,150.73,6042.31,8917.14,10390.16,5292.81,10978.05,24166.4,49741.9,46144.18,55560.82,80289.28
d_1,28.02,31.58,27.47,135.46,70.0,186.04,6043.31,5498.1,12053.1,25477.16,16360.23,26750.76,55362.29,55326.72,56726.68,77509.4
b_1,23.05,25.11,30.5,34.13,198.24,301.59,5567.56,9068.08,9154.01,12155.94,6627.38,19667.76,50577.89,37666.76,51490.24,76386.43
a_1,18.58,21.89,31.19,22.86,29.43,478.31,3995.5,6521.2,5544.91,7320.4,12498.24,14026.31,32320.95,10838.83,37656.1,56189.86
h_1,7.51,14.49,13.91,13.13,17.32,53.77,3838.25,2318.23,4241.28,3870.91,4394.57,5638.94,10718.55,15915.61,18035.74,34555.94
d_0,6.78,9.02,18.1,5.83,16.66,58.52,2163.46,4737.77,2559.99,3114.38,4243.45,6542.46,13528.04,10445.62,15090.54,16146.97
g_1,7.57,8.12,9.64,14.44,14.13,44.68,1191.1,2469.11,6230.32,3582.87,4111.64,8065.3,10406.57,12749.3,16302.65,14924.25
c_0,8.99,9.02,7.0,9.17,12.15,54.11,1558.51,2927.01,2425.68,5852.32,6229.15,5285.47,12245.97,12475.04,11695.43,21959.81
b_0,8.0,7.36,12.3,10.51,8.69,29.0,1695.74,2442.66,2328.32,2887.03,6527.29,6424.92,12260.43,18569.64,15573.38,20536.67
f_0,5.48,5.27,7.95,9.03,14.54,41.46,1624.58,2315.42,2343.63,3504.32,3269.24,9182.37,10531.25,12142.31,21406.17,16631.42
h_0,4.15,8.44,7.15,6.8,8.95,27.73,741.29,1585.81,2424.69,2384.49,2755.6,4343.6,6575.61,8410.52,9479.81,16596.19
a_0,5.19,5.1,7.08,8.04,10.33,,821.25,2071.71,1625.98,2302.02,2202.39,3174.07,8900.17,16239.22,11982.28,12569.68
e_0,2.65,6.76,7.16,5.64,8.7,32.66,1225.57,1831.83,1464.45,2565.89,2454.57,3052.35,9314.27,7240.89,18075.78,13964.26
g_0,3.54,4.64,6.9,8.36,7.41,24.2,685.88,1588.59,1154.86,1742.84,2523.9,4479.23,8777.77,8011.01,8822.4,9045.99
