,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.51,1.33,0.85,0.77,0.78,0.58,0.98,1.08,0.85,1.04,0.99,0.77,0.93,0.91,0.76,1.11
e_1,0.9,1.53,1.09,0.8,0.81,0.77,1.07,1.67,0.97,1.02,1.03,1.13,1.12,0.84,0.89,1.03
c_1,0.95,0.86,1.56,0.91,1.36,0.7,0.99,0.88,0.87,0.71,0.85,0.88,1.13,0.88,0.68,1.03
d_1,1.02,0.97,0.79,1.59,0.78,0.78,1.03,0.89,0.96,1.57,1.21,0.9,1.21,0.97,0.8,0.95
b_1,1.01,0.87,0.8,1.01,1.62,1.29,1.16,0.97,0.91,1.02,0.79,0.99,1.21,0.75,0.84,1.11
a_1,1.12,0.9,1.06,1.03,0.73,1.76,1.33,1.17,1.15,1.13,1.18,1.2,1.27,0.75,1.12,1.12
h_1,1.46,1.11,1.13,1.14,0.98,0.79,1.78,1.28,1.38,1.2,1.32,1.07,1.16,1.15,1.2,1.53
d_0,1.19,0.94,1.87,0.94,1.12,0.92,1.24,1.7,1.33,1.08,1.41,1.23,1.65,1.22,1.35,1.33
g_1,1.24,1.1,1.22,1.49,1.1,0.84,1.25,1.14,1.91,1.25,1.3,1.65,1.4,1.24,1.25,1.18
c_0,1.29,1.19,1.1,1.09,0.96,0.87,1.44,1.52,1.34,1.77,2.33,1.33,1.75,1.61,1.36,1.5
b_0,1.31,1.23,1.4,1.1,0.98,0.76,1.44,1.49,1.22,1.1,1.8,1.35,1.67,2.3,1.35,1.4
f_0,1.15,1.07,1.32,1.29,1.25,0.93,1.53,1.54,1.19,1.28,1.34,1.84,1.9,1.52,2.4,1.15
h_0,1.73,1.33,1.1,1.25,1.05,0.91,1.26,1.29,1.59,1.19,1.41,1.2,1.29,1.12,1.28,1.69
a_0,1.37,1.41,1.36,1.27,1.21,0.82,1.35,1.49,1.29,1.41,0.99,1.22,1.73,1.87,1.31,1.58
e_0,1.33,1.0,1.5,1.47,1.25,0.96,1.47,1.22,1.51,1.47,1.53,1.03,1.72,1.32,1.86,1.34
g_0,1.23,1.19,1.31,1.76,1.24,1.0,1.31,1.42,1.16,1.37,1.35,1.9,1.45,1.17,1.57,1.28
