,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.73,0.69,0.49,0.78,0.59,0.5,0.89,1.65,0.86,0.85,1.0,0.93,1.08,1.3,0.46,0.87
f_1,1.13,2.78,0.62,0.53,0.5,0.53,0.84,0.81,0.77,1.07,0.87,0.46,0.81,0.76,0.74,0.86
d_1,0.58,0.87,3.18,0.43,0.42,0.55,1.0,0.42,0.83,1.72,1.2,0.89,0.9,0.91,1.12,0.98
c_1,0.55,0.54,0.46,3.26,1.31,0.49,0.8,0.89,0.73,0.28,0.82,0.89,0.93,0.79,0.9,0.85
b_1,0.5,0.48,0.66,0.67,3.44,1.23,0.82,0.77,0.98,0.81,0.33,1.17,0.92,0.79,0.92,0.91
a_1,0.6,0.62,0.75,0.7,0.43,4.7,0.98,0.83,1.11,0.79,0.99,1.06,1.19,0.38,1.08,1.02
h_1,0.72,1.06,0.85,0.7,0.68,0.58,3.12,1.07,1.36,1.0,1.18,0.96,0.58,0.96,1.03,1.73
d_0,0.6,0.66,0.42,1.56,0.88,0.67,0.96,2.25,0.98,0.74,1.15,1.16,1.37,1.26,1.16,1.34
g_1,0.57,0.64,1.26,0.52,0.72,0.78,1.07,0.78,3.96,1.16,0.96,1.86,1.07,1.13,1.29,0.65
c_0,0.69,0.93,1.01,0.44,0.46,0.71,1.34,1.27,1.1,2.49,2.2,1.32,1.16,1.51,1.34,1.55
b_0,0.77,0.87,0.91,0.72,0.29,0.64,1.24,1.22,1.08,1.19,2.78,1.09,1.36,2.32,1.48,1.42
f_0,0.63,0.39,0.79,0.73,0.93,0.99,1.2,1.33,1.29,1.09,1.17,2.95,1.27,1.22,2.79,1.17
h_0,0.82,1.07,0.79,0.8,0.83,0.73,0.56,1.11,1.39,1.05,0.95,0.87,0.68,0.99,1.24,1.57
a_0,0.76,0.83,0.82,0.76,0.68,0.37,1.34,1.31,0.92,1.08,1.47,1.24,1.52,3.37,1.28,1.23
e_0,0.27,0.94,0.85,0.81,0.99,0.68,1.09,1.2,1.16,1.26,1.03,1.27,1.57,1.12,3.34,1.58
g_0,0.66,0.62,1.34,0.79,0.72,0.73,1.02,0.87,0.74,1.13,1.24,1.59,1.15,1.44,1.28,0.68
