,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.43,2.52,3.61,4.4,3.24,3.9,1.95,1.83,2.24,1.57,1.29,1.4,1.28,,1.52,1.54
f_1,4.01,0.42,3.97,4.27,4.1,3.86,1.47,1.48,2.22,1.49,1.54,,0.99,1.3,1.37,1.19
d_1,4.45,4.11,0.4,2.99,4.19,2.99,1.81,,1.24,1.62,1.69,1.82,1.18,1.8,1.44,0.83
c_1,3.25,3.29,4.08,0.39,4.08,4.13,1.7,0.83,2.03,,1.92,2.46,1.62,1.55,1.81,1.14
b_1,3.57,2.95,3.11,2.52,0.37,5.51,1.58,1.67,1.76,1.52,,1.85,2.08,1.8,,1.05
a_1,3.3,3.24,4.23,2.66,2.13,0.3,1.8,2.03,,2.04,2.06,1.25,1.54,,,
h_1,2.08,1.9,1.81,1.61,1.78,2.03,0.26,0.91,1.14,0.7,0.78,0.57,,0.7,0.69,0.85
d_0,0.99,1.7,,2.39,1.37,1.36,0.78,0.29,0.84,0.84,0.75,0.84,0.45,0.66,0.96,0.63
g_1,1.73,2.22,2.27,1.78,1.92,,0.76,0.79,0.23,0.85,0.79,0.69,0.52,0.95,0.91,
c_0,1.85,1.61,0.95,,2.47,1.13,0.95,0.78,0.89,0.28,0.86,0.64,0.56,0.72,,0.57
b_0,1.63,1.5,1.48,1.68,,1.75,0.81,0.75,0.92,0.46,0.26,0.67,0.68,0.75,0.72,0.74
f_0,1.71,,1.3,1.37,1.27,1.88,1.25,0.6,0.66,0.84,0.86,0.25,0.63,0.65,,0.5
h_0,1.25,1.32,1.35,1.21,0.85,1.28,,0.69,0.74,0.54,0.6,0.58,,0.55,0.58,0.47
e_0,,1.76,1.33,1.74,1.57,,0.87,0.97,0.71,0.72,0.67,0.52,0.61,0.21,,0.61
a_0,1.75,1.73,1.7,1.26,,,1.13,0.52,0.62,,0.39,,0.66,,0.21,
g_0,1.26,1.59,1.91,1.23,1.57,,0.55,0.69,,0.55,0.61,0.52,0.42,0.5,,
