,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,14.76,8.22,10.76,13.53,21.3,3.49,4.02,2.47,2.09,2.69,2.77,2.11,2.85,,1.92
d_1,14.76,0.16,14.68,15.98,12.31,11.53,4.58,1.85,,2.37,2.95,2.35,1.3,4.58,1.9,1.35
f_1,16.17,13.84,0.16,9.31,13.49,26.18,2.29,4.53,2.22,2.43,2.53,,1.12,3.23,2.74,2.12
c_1,14.47,13.99,11.18,0.15,13.32,13.3,3.92,2.79,1.57,,2.48,3.58,1.7,1.95,3.79,1.53
b_1,10.83,11.32,12.67,7.02,0.14,13.1,3.96,4.48,2.58,2.83,,2.68,1.82,,3.55,2.57
a_1,13.55,15.17,12.0,14.78,6.73,0.1,2.2,5.88,3.15,3.32,2.51,2.56,2.61,,,1.77
h_1,3.59,2.66,3.58,3.41,3.0,4.01,0.07,0.92,0.75,0.77,0.77,0.59,,0.52,0.55,0.46
g_1,3.75,3.11,4.18,4.02,3.03,3.41,0.78,0.06,0.6,0.74,0.57,0.79,0.4,0.69,0.92,
d_0,1.35,,2.51,2.67,2.29,2.7,0.66,0.79,0.08,0.69,0.53,0.51,0.4,0.68,0.39,0.44
c_0,2.81,1.53,2.37,,2.22,2.02,0.62,0.76,0.64,0.09,0.53,0.66,0.47,0.51,0.42,0.25
b_0,3.27,2.16,3.16,3.55,,2.92,0.8,0.95,0.6,0.25,0.08,0.55,0.34,0.53,0.41,0.31
f_0,2.29,2.35,,4.48,2.91,1.85,0.87,0.43,0.61,0.54,0.64,0.07,0.34,0.44,0.61,0.22
h_0,1.79,2.38,1.73,1.42,1.7,1.47,,0.47,0.3,0.29,0.4,0.35,,0.26,0.31,0.24
a_0,4.74,3.06,1.89,1.81,,,0.72,0.73,0.57,0.57,0.26,0.44,0.46,0.05,0.43,0.39
e_0,,2.6,3.79,3.25,2.84,,0.78,0.74,0.54,0.4,0.41,0.23,0.34,0.51,0.05,
g_0,1.54,1.86,1.86,1.87,2.27,1.33,0.38,,0.33,0.51,0.43,0.3,0.15,0.34,,
