,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.8,0.88,1.21,0.9,0.88,0.71,0.89,0.68,0.57,0.57,0.63,0.58,0.62,0.54,0.62
f_1,1.29,1.0,0.88,0.95,0.96,0.73,0.56,0.68,0.68,0.6,0.62,0.49,0.5,0.41,0.54,0.51
d_1,1.09,1.14,1.0,0.9,0.91,0.73,0.71,0.69,0.53,0.83,0.67,0.62,0.6,0.63,0.56,0.45
c_1,0.82,1.08,1.11,1.0,1.34,0.86,0.71,0.45,0.74,0.58,0.58,0.65,0.59,0.54,0.52,0.52
b_1,1.13,1.01,1.08,0.74,1.0,1.32,0.74,0.7,0.75,0.71,0.78,0.69,0.75,0.59,0.57,0.58
a_1,1.14,1.37,1.39,1.18,0.77,1.0,0.92,0.79,0.78,0.88,0.81,0.79,0.72,0.69,0.78,0.72
h_1,1.4,1.72,1.38,1.39,1.33,1.09,1.0,0.92,1.14,0.87,0.87,0.71,0.84,0.77,0.72,0.88
d_0,1.15,1.51,1.47,2.19,1.39,1.25,1.14,1.0,1.05,0.87,0.89,0.96,0.88,0.79,0.82,0.97
g_1,1.45,1.49,1.84,1.4,1.36,1.22,0.85,0.93,1.0,0.96,1.01,1.15,0.81,0.88,0.84,0.81
c_0,1.79,1.71,1.22,1.77,1.4,1.09,1.16,1.12,1.01,1.0,1.28,1.05,0.92,0.96,0.97,0.84
b_0,1.78,1.61,1.48,1.76,1.4,1.18,1.16,1.12,1.04,0.8,1.0,0.99,1.0,1.01,1.25,0.89
f_0,1.51,1.97,1.63,1.6,1.57,1.27,1.44,0.99,0.89,1.01,1.02,1.0,0.93,1.27,0.79,0.75
h_0,1.63,2.0,1.67,1.69,1.4,1.29,1.18,1.11,1.24,1.04,1.04,1.09,1.0,0.98,0.95,1.19
e_0,1.67,2.44,1.52,1.97,1.71,1.34,1.34,1.2,1.06,1.16,1.0,0.84,1.05,1.0,0.93,1.0
a_0,1.83,1.96,1.71,1.88,1.76,1.26,1.4,1.2,1.23,1.05,0.8,1.34,1.01,1.14,1.0,1.0
g_0,1.71,1.86,2.16,1.94,1.78,1.39,1.13,1.01,1.2,1.24,1.21,1.34,0.87,0.99,0.98,1.0
