,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.75,0.14,0.06,0.09,0.09,0.1,0.3,0.29,0.32,0.3,0.38,,0.7,0.3,0.31,0.57
e_1,0.07,5.89,0.05,0.07,0.08,0.07,0.38,0.35,0.26,0.63,0.49,0.41,0.75,0.28,,0.51
d_1,0.07,0.07,6.32,0.07,0.06,0.07,0.29,0.77,0.23,,0.44,0.54,0.68,0.33,0.41,0.48
c_1,0.09,0.08,0.1,6.51,0.14,0.06,0.28,,0.26,0.35,0.44,0.49,0.58,0.23,0.23,0.65
b_1,0.08,0.08,0.06,0.08,6.92,,0.3,0.36,0.39,0.32,,0.41,0.76,0.28,0.42,0.5
a_1,0.05,0.06,0.08,0.09,,10.55,0.45,0.49,0.42,0.45,0.33,0.24,0.79,,,
h_1,0.46,0.25,0.3,0.29,0.36,0.35,14.42,1.13,0.89,1.54,1.67,1.31,,0.88,1.2,3.07
c_0,0.41,0.47,0.42,,0.44,0.28,1.38,12.05,1.13,1.74,3.02,1.9,2.59,2.47,2.32,2.1
g_1,0.28,0.24,0.5,0.29,0.21,0.25,1.12,1.78,18.58,1.11,1.01,2.09,1.87,2.16,,
d_0,0.5,0.44,,0.76,0.34,0.43,1.34,1.97,1.42,12.76,1.74,1.23,3.26,1.72,1.33,3.21
b_0,0.48,0.48,0.4,0.34,,0.31,0.84,1.7,1.28,2.03,14.57,1.82,3.13,3.74,1.57,3.62
f_0,,0.37,0.34,0.49,0.46,0.4,1.36,1.58,1.62,2.11,1.5,14.52,2.62,1.77,4.61,2.88
h_0,0.68,0.46,0.54,0.45,0.55,0.53,,2.92,2.94,4.6,3.34,2.3,,2.91,2.88,5.79
a_0,0.39,0.45,0.37,0.4,0.28,,1.31,2.2,1.22,2.22,1.76,1.77,2.19,21.23,2.36,2.44
e_0,0.37,,0.3,0.38,0.44,,1.76,1.74,,2.11,2.05,1.33,2.56,2.03,23.7,3.83
g_0,0.4,0.29,1.03,0.54,0.5,,3.23,2.9,,2.98,1.5,5.39,2.81,2.97,2.68,
