,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.4,0.59,0.67,0.5,0.65,0.53,0.31,0.33,0.19,0.26,0.29,0.24,0.23,0.28,0.26,0.22
f_1,0.6,0.4,0.57,0.67,0.58,0.49,0.26,0.33,0.28,0.26,0.28,0.25,0.18,0.22,0.24,0.24
d_1,0.61,0.6,0.39,0.65,0.59,0.58,0.3,0.23,0.32,0.29,0.24,0.26,0.22,0.26,0.23,0.17
e_1,0.66,0.43,0.61,0.39,0.62,0.6,0.33,0.36,0.32,0.27,0.32,0.26,0.24,0.36,0.27,0.27
b_1,0.41,0.64,0.64,0.59,0.37,0.71,0.36,0.33,0.27,0.33,0.27,0.35,0.25,0.27,0.26,0.24
a_1,0.6,0.7,0.64,0.62,0.36,0.3,0.32,0.37,0.29,0.32,0.27,0.35,0.24,0.27,0.39,0.28
h_1,0.57,0.61,0.53,0.57,0.55,0.54,0.23,0.29,0.27,0.24,0.24,0.24,0.22,0.21,0.22,0.24
g_1,0.6,0.58,0.6,0.54,0.57,0.51,0.26,0.22,0.27,0.26,0.28,0.25,0.18,0.24,0.23,0.23
d_0,0.69,0.56,0.65,0.39,0.62,0.53,0.33,0.32,0.22,0.23,0.3,0.24,0.22,0.29,0.28,0.25
c_0,0.85,0.59,0.4,0.62,0.53,0.53,0.32,0.3,0.36,0.21,0.25,0.3,0.22,0.27,0.27,0.2
f_0,0.56,0.77,0.58,0.53,0.55,0.52,0.3,0.22,0.27,0.26,0.21,0.27,0.21,0.3,0.28,0.17
b_0,0.8,0.58,0.46,0.6,0.61,0.51,0.3,0.29,0.3,0.17,0.24,0.21,0.22,0.25,0.29,0.2
h_0,0.55,0.63,0.54,0.55,0.53,0.53,0.33,0.33,0.28,0.25,0.26,0.24,0.24,0.24,0.24,0.21
e_0,0.57,0.82,0.51,0.64,0.57,0.47,0.32,0.26,0.26,0.23,0.16,0.25,0.21,0.18,0.25,0.18
a_0,0.61,0.57,0.58,0.55,0.62,0.56,0.29,0.32,0.26,0.22,0.21,0.16,0.2,0.24,0.18,0.22
g_0,0.6,0.61,0.58,0.52,0.56,0.52,0.25,0.32,0.26,0.25,0.26,0.23,0.18,0.25,0.23,0.21
