,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.24,0.98,0.92,0.9,0.74,0.61,0.66,0.66,0.57,0.6,0.61,0.5,0.55,0.42,0.57
e_1,0.81,1.0,1.24,0.92,0.98,0.73,0.74,0.87,0.9,0.67,0.65,0.72,0.59,0.57,0.57,0.62
c_1,1.02,0.81,1.0,1.18,1.24,0.89,0.69,0.67,0.49,0.47,0.56,0.56,0.61,0.57,0.61,0.54
d_1,1.08,1.09,0.85,1.0,1.03,0.76,0.72,0.55,0.62,0.86,0.74,0.66,0.65,0.63,0.66,0.46
b_1,1.12,1.02,0.8,0.97,1.0,1.39,0.8,0.71,0.75,0.83,0.62,0.68,0.63,0.56,0.63,0.66
a_1,1.35,1.36,1.11,1.32,0.73,1.0,1.0,0.78,0.68,0.71,0.82,0.67,0.71,0.59,0.59,0.57
h_1,1.66,1.36,1.43,1.42,1.24,0.98,1.0,1.09,0.88,0.85,0.91,0.77,0.95,0.79,0.74,1.09
g_1,1.54,1.16,1.5,1.86,1.39,1.27,0.93,1.0,0.94,1.02,0.94,1.2,0.78,1.1,0.93,0.79
d_0,1.5,1.09,2.19,1.52,1.37,1.35,1.1,1.02,1.0,0.83,1.02,0.87,0.99,0.93,0.86,1.01
c_0,1.73,1.51,1.81,1.15,1.26,1.38,1.21,0.96,1.19,1.0,1.32,0.94,1.04,1.06,1.04,0.86
b_0,1.65,1.56,1.88,1.32,1.62,1.21,1.1,1.03,0.98,0.72,1.0,1.03,1.03,1.3,0.97,1.04
f_0,1.73,1.33,1.86,1.55,1.45,1.48,1.26,0.86,1.09,1.08,0.98,1.0,1.02,0.85,1.35,0.81
h_0,2.07,1.72,1.59,1.61,1.63,1.4,1.06,1.31,0.98,0.96,0.91,1.01,1.0,0.88,0.74,1.09
a_0,1.9,1.81,1.79,1.52,1.68,1.58,1.26,0.92,0.99,0.94,0.76,1.17,1.06,1.0,0.77,0.96
e_0,2.29,1.69,1.73,1.57,1.59,1.65,1.32,1.09,1.19,0.99,1.04,0.79,1.39,1.26,1.0,0.95
g_0,1.65,1.64,1.86,2.09,1.54,1.84,0.96,1.25,1.0,1.1,0.95,1.29,0.91,1.04,0.99,1.0
