,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.75,0.85,0.86,1.08,0.82,0.43,0.52,0.33,0.32,0.39,0.42,0.36,0.39,,0.29
f_1,1.33,1.0,0.97,0.86,0.79,0.72,0.35,0.47,0.34,0.31,0.36,,0.28,0.37,0.26,0.34
c_1,1.17,1.03,1.0,1.62,1.24,0.78,0.54,0.3,,0.29,0.42,0.36,0.3,0.27,0.43,0.3
d_1,1.17,1.16,0.62,1.0,0.89,0.96,0.54,,0.48,0.49,0.33,0.44,0.36,0.31,0.38,0.3
b_1,0.92,1.27,0.8,1.12,1.0,1.33,0.63,0.63,0.44,,0.36,0.48,0.43,0.33,0.32,0.31
a_1,1.21,1.39,1.29,1.04,0.75,1.0,0.68,0.79,0.79,,0.49,0.49,0.49,,0.45,0.39
h_1,2.35,2.82,1.84,1.86,1.58,1.47,1.0,0.94,0.78,0.7,0.76,0.86,,0.67,0.66,0.7
d_0,1.91,2.14,3.36,,1.58,1.26,1.07,1.0,0.99,0.88,0.92,0.63,0.77,0.66,,0.78
c_0,3.07,2.94,,2.06,2.28,1.26,1.28,1.01,1.0,1.08,0.84,0.79,0.78,0.88,0.67,0.62
b_0,3.15,3.23,3.44,2.03,,,1.42,1.14,0.93,1.0,0.91,0.8,0.83,1.01,,0.94
g_1,2.57,2.77,2.38,3.04,2.74,2.03,1.32,1.08,1.19,1.1,1.0,0.98,0.75,,0.75,
f_0,2.36,,2.77,2.27,2.08,2.05,1.17,1.58,1.27,1.25,1.02,1.0,1.15,0.86,1.06,0.64
h_0,2.8,3.56,3.33,2.8,2.32,2.04,,1.29,1.29,1.2,1.34,0.87,,1.04,0.78,0.93
a_0,2.55,2.7,3.75,3.21,3.04,,1.49,1.52,1.14,0.99,,1.16,0.96,1.0,0.97,0.95
e_0,,3.81,2.34,2.66,3.16,2.21,1.52,,1.49,,1.33,0.95,1.28,1.03,1.0,0.9
g_0,3.48,2.97,3.28,3.37,3.18,2.55,1.42,1.28,1.6,1.07,,1.56,1.07,1.06,1.11,
