,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.0,0.77,0.92,1.01,0.97,0.67,0.59,0.46,0.57,0.33,0.41,0.37,0.35,0.31,0.29,0.35
f_1,1.29,1.0,0.86,0.93,0.79,0.72,0.43,0.45,0.44,0.49,0.38,0.36,0.26,0.3,0.28,0.29
d_1,1.09,1.16,1.0,0.82,0.96,0.74,0.48,0.36,0.55,0.58,0.42,0.38,0.4,0.24,0.34,0.32
c_1,0.99,1.08,1.22,1.0,1.19,0.74,0.58,0.45,0.34,0.43,0.27,0.37,0.4,0.35,0.31,0.28
b_1,1.03,1.26,1.04,0.84,1.0,1.02,0.46,0.53,0.45,0.61,0.5,0.45,0.44,0.36,0.35,0.36
a_1,1.49,1.39,1.35,1.35,0.98,1.0,0.75,0.68,0.61,0.46,0.57,0.5,0.46,0.44,0.37,0.33
h_1,1.7,2.28,2.06,1.8,2.22,1.28,1.0,0.92,0.88,0.7,0.74,0.88,0.64,0.73,0.68,0.66
g_1,2.11,2.22,2.7,2.28,1.94,1.43,1.09,1.0,0.85,0.71,0.78,1.03,0.69,0.79,0.78,0.72
d_0,1.68,2.28,1.83,3.1,2.23,1.64,1.17,1.17,1.0,0.78,0.77,1.06,0.83,0.8,0.71,0.81
c_0,2.94,2.21,1.74,2.46,1.58,2.15,1.45,1.32,1.25,1.0,1.67,1.02,0.85,1.08,0.71,0.61
b_0,2.47,2.54,2.43,3.77,2.03,1.73,1.39,1.3,1.24,0.64,1.0,0.92,1.01,0.86,1.04,0.88
f_0,2.52,3.16,2.67,2.76,2.08,1.8,1.12,0.99,1.02,0.95,1.2,1.0,1.08,0.82,0.96,1.15
h_0,2.75,3.95,2.58,2.54,2.22,2.16,1.56,1.45,1.21,1.24,1.01,0.91,1.0,1.08,0.85,0.88
g_0,2.99,3.31,3.96,2.87,2.77,2.25,1.35,1.23,1.2,0.92,1.13,1.2,0.97,1.0,0.84,0.86
a_0,3.42,3.9,2.9,3.17,2.79,2.91,1.48,1.33,1.42,1.39,0.98,1.1,1.22,1.22,1.0,0.88
e_0,2.75,3.4,3.04,3.56,3.03,2.77,1.59,1.37,1.37,1.56,1.2,0.93,1.17,1.13,1.16,1.0
