,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.52,0.7,0.91,0.64,0.74,0.61,0.92,1.4,0.77,0.67,0.8,0.95,0.81,0.94,0.54,0.91
f_1,1.18,1.52,0.65,0.66,0.64,0.65,0.7,0.87,0.82,0.68,0.83,0.51,0.69,0.73,0.59,0.85
c_1,0.63,0.8,1.55,0.85,1.04,0.54,0.8,0.68,0.55,0.72,0.67,0.8,0.63,0.91,0.71,0.8
d_1,0.79,0.86,0.59,1.56,0.73,0.57,0.92,0.61,1.32,0.8,1.02,0.83,0.85,0.98,0.8,0.72
b_1,0.76,0.79,0.79,0.76,1.58,0.91,0.87,0.85,0.87,0.7,0.5,0.74,0.62,0.92,0.71,0.88
a_1,0.84,0.8,0.89,0.86,0.68,1.76,1.04,1.04,0.89,0.87,0.92,0.85,0.8,1.02,0.91,1.17
h_1,0.91,1.37,0.9,1.03,0.93,0.7,1.78,1.12,1.12,1.31,1.16,1.06,1.03,0.97,0.98,1.28
d_0,0.86,1.09,1.72,0.87,1.05,0.68,1.04,1.66,1.03,1.11,0.91,1.01,1.02,1.24,0.87,1.06
c_0,1.08,1.16,0.85,0.98,0.82,0.82,1.23,1.24,1.66,1.21,1.91,1.3,1.21,1.27,0.84,1.11
g_1,1.03,0.92,1.08,1.38,0.98,0.73,0.95,0.9,1.15,1.9,1.07,1.6,1.11,1.14,1.16,0.77
b_0,0.99,1.1,1.11,1.03,0.84,0.93,1.23,1.33,1.21,1.18,1.75,1.21,1.87,1.16,1.05,1.25
f_0,0.85,0.99,1.14,1.07,1.09,0.88,1.32,1.34,1.23,1.0,1.35,1.79,1.22,1.61,1.73,0.99
a_0,1.08,1.18,1.24,1.11,1.0,0.71,1.29,1.4,1.39,0.99,1.06,1.1,1.75,1.32,1.15,1.09
h_0,1.07,1.44,1.04,1.15,0.99,0.8,0.84,1.24,1.35,1.45,1.26,1.05,1.02,1.21,1.06,1.51
e_0,0.91,1.32,1.01,1.21,1.13,0.76,1.37,1.35,1.55,1.28,1.36,1.03,1.21,1.52,1.78,1.38
g_0,1.0,1.09,1.05,1.72,1.03,0.84,1.15,1.12,1.46,1.01,1.1,1.73,1.13,1.24,1.06,1.09
