,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.17,0.8,1.78,1.92,1.84,2.03,0.53,0.34,0.63,0.4,0.33,0.43,0.21,0.39,0.31,1.62
f_1,1.71,0.16,1.52,1.79,1.93,1.72,0.33,0.34,0.46,0.26,0.32,1.52,0.18,0.29,0.27,0.27
d_1,2.22,1.63,0.16,1.68,1.44,1.58,0.45,2.13,0.28,0.34,0.43,0.28,0.26,0.34,0.14,0.26
c_1,1.56,1.79,2.14,0.16,1.64,1.57,0.55,0.17,0.5,0.98,0.28,0.28,0.2,0.41,0.23,0.27
b_1,1.49,1.97,1.66,0.97,0.14,1.41,0.54,0.38,0.52,0.41,1.56,0.38,0.24,0.48,0.26,0.57
a_1,1.61,2.65,1.61,1.57,0.85,0.1,0.46,0.36,0.9,0.29,0.47,0.38,0.34,2.11,0.27,0.32
h_1,0.85,1.22,0.83,0.96,0.89,1.02,0.06,0.23,0.28,0.18,0.16,0.17,0.33,0.16,0.17,0.22
d_0,0.57,0.95,2.45,0.89,0.99,0.86,0.25,0.08,0.26,0.18,0.19,0.21,0.15,0.17,0.14,0.2
g_1,0.83,1.24,1.0,0.88,1.01,0.94,0.19,0.25,0.05,0.19,0.19,0.15,0.11,0.14,0.34,0.23
c_0,0.85,1.03,0.5,3.23,0.95,0.8,0.31,0.23,0.28,0.07,0.22,0.18,0.16,0.2,0.16,0.18
b_0,0.89,0.96,0.72,1.17,2.8,0.81,0.33,0.16,0.24,0.09,0.06,0.18,0.12,0.17,0.12,0.15
f_0,0.94,3.31,0.77,1.03,0.81,0.76,0.27,0.22,0.15,0.2,0.17,0.06,0.15,0.13,0.08,0.18
h_0,0.85,0.93,0.89,0.87,1.08,1.03,0.56,0.18,0.29,0.17,0.15,0.17,0.43,0.14,0.13,0.17
a_0,0.7,0.98,0.91,1.1,1.38,,0.22,0.23,0.25,0.18,0.08,0.14,0.13,0.04,0.16,0.16
g_0,0.95,0.99,0.85,0.85,0.96,1.18,0.16,0.23,0.51,0.19,0.2,0.14,0.12,0.16,0.24,0.2
e_0,2.08,1.87,0.87,0.71,0.8,0.77,0.24,0.16,0.23,0.18,0.21,0.08,0.1,0.15,0.12,0.04
