,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,4.33,3.39,3.38,3.78,4.43,1.72,1.98,1.41,1.5,1.4,,1.0,1.65,1.33,1.73
e_1,2.48,0.41,3.34,4.27,3.55,3.34,1.75,1.58,1.59,2.12,1.41,2.38,1.28,1.71,1.47,
d_1,3.92,4.88,0.41,2.93,3.15,3.23,1.82,1.81,1.62,,2.82,1.46,1.17,1.2,1.03,1.53
c_1,3.73,3.37,3.78,0.4,3.74,3.36,2.14,,1.6,1.13,1.83,1.39,1.21,1.41,1.59,1.68
b_1,3.45,3.95,3.07,2.6,0.36,4.58,2.03,1.99,1.51,1.56,,1.52,1.72,1.6,1.22,1.55
a_1,2.85,4.78,4.19,3.71,2.21,0.3,1.56,1.77,,2.26,1.81,1.49,1.58,,1.19,
h_1,1.9,1.94,1.66,1.54,1.61,1.85,0.27,0.73,0.97,0.81,1.22,0.8,,0.89,0.69,0.73
c_0,1.6,1.63,1.17,,1.51,1.45,0.85,0.29,0.86,0.78,0.87,0.64,0.58,0.76,0.66,0.55
g_1,2.55,2.22,1.91,2.18,2.31,,0.74,0.77,0.23,0.78,0.72,0.8,0.49,0.79,,
d_0,1.75,0.95,,1.71,1.62,1.18,0.83,0.69,1.31,0.29,0.68,0.73,0.62,0.74,0.71,0.63
b_0,1.65,1.68,1.41,1.75,,1.98,0.77,0.42,0.81,0.66,0.26,0.79,0.58,,0.59,0.83
f_0,,1.38,1.96,1.93,1.94,1.68,0.93,0.73,0.69,0.68,0.46,0.26,0.8,0.76,0.36,0.7
h_0,1.23,1.14,1.59,1.31,1.21,1.3,,0.51,0.97,0.58,0.6,0.51,,0.43,0.51,0.53
a_0,1.42,1.63,1.87,2.28,1.44,,1.1,0.76,0.99,0.58,,0.58,0.78,0.22,0.61,
g_0,1.26,1.24,1.35,1.09,1.62,1.73,0.52,0.69,,0.52,0.68,0.76,0.41,0.66,,0.51
e_0,1.84,,1.35,1.38,1.97,,0.97,0.74,,0.66,0.71,0.43,0.69,,0.67,0.21
