,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.05,1.14,1.75,1.84,1.7,1.3,0.7,0.65,0.58,0.59,0.55,0.51,0.45,0.39,0.49,0.39
f_1,1.94,1.05,1.71,1.84,1.49,1.42,0.5,0.64,0.46,0.48,0.56,0.47,0.42,0.29,0.36,0.4
d_1,1.9,1.95,1.04,1.55,1.7,1.5,0.69,0.5,0.53,0.64,0.45,0.53,0.45,0.37,0.51,0.27
c_1,1.7,1.88,2.41,1.05,2.06,1.67,0.74,0.66,0.58,0.37,0.54,0.48,0.52,0.48,0.52,0.42
b_1,2.06,2.41,2.2,1.28,1.06,2.29,0.85,0.78,0.78,0.6,0.68,0.78,0.61,0.52,0.49,0.49
a_1,2.79,2.98,2.64,2.69,1.53,1.07,1.11,1.21,0.86,1.13,0.85,0.99,1.06,0.66,0.89,0.68
h_1,4.69,5.23,4.26,4.38,4.29,3.72,1.28,2.1,1.32,1.47,1.31,1.3,1.14,1.29,1.18,1.08
g_1,4.96,5.92,5.58,5.28,4.76,3.84,1.59,1.28,1.59,1.47,1.67,1.5,1.34,1.01,1.41,1.29
c_0,5.88,6.75,4.05,8.73,5.49,4.62,2.29,2.08,1.4,2.25,1.62,2.02,1.81,1.47,1.71,1.28
d_0,4.22,5.9,7.34,7.39,6.37,4.31,2.3,2.43,1.79,1.45,1.58,1.67,1.78,1.6,1.73,1.32
f_0,6.3,9.78,6.17,6.74,6.09,5.11,2.72,1.79,2.0,2.04,1.42,1.79,1.78,1.53,1.88,1.04
b_0,6.61,7.21,5.24,8.92,8.23,5.42,2.24,2.48,1.22,2.0,1.89,1.41,2.05,1.69,1.55,1.37
a_0,7.86,8.19,7.73,8.03,9.74,7.02,3.32,3.28,2.06,2.23,2.31,1.35,1.45,1.96,1.62,1.55
h_0,8.14,9.55,8.77,7.78,7.04,5.85,3.39,2.93,2.21,2.11,2.29,2.17,2.14,2.01,2.04,1.96
e_0,10.07,11.32,7.91,8.6,8.19,5.93,3.23,3.19,2.32,2.34,1.48,2.39,2.48,2.04,1.52,1.67
g_0,9.38,10.63,9.36,9.46,9.11,7.82,2.89,3.52,2.56,2.92,3.03,2.43,2.64,1.65,2.25,2.16
