,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.48,0.17,0.14,0.14,0.15,0.14,0.24,0.36,0.15,,0.2,0.17,0.21,0.17,0.15,0.17
f_1,0.16,1.5,0.27,0.14,0.16,0.14,0.2,0.2,0.19,0.24,0.21,,0.21,0.15,0.13,0.16
e_1,0.21,0.15,1.51,0.15,0.16,0.15,0.17,0.2,0.14,0.3,0.18,0.22,0.21,0.15,0.18,
c_1,0.2,0.19,0.18,1.58,0.27,0.14,0.14,,0.18,0.18,0.15,0.14,0.27,0.16,0.22,0.22
b_1,0.2,0.16,0.17,0.13,1.61,,0.22,0.24,0.16,0.19,,0.24,0.26,0.14,0.22,0.12
a_1,0.17,0.22,0.16,0.17,,1.75,0.2,0.24,0.2,0.2,0.28,0.22,0.24,,0.25,
h_1,0.35,0.44,0.41,0.5,0.29,0.27,1.63,0.5,0.55,0.48,0.4,0.4,,0.4,0.61,0.28
c_0,0.36,0.42,0.44,,0.39,0.33,0.58,1.39,0.45,0.64,0.85,0.5,0.62,0.56,0.62,0.43
g_1,0.57,0.31,0.4,0.44,0.34,0.32,0.43,0.47,1.71,0.28,0.46,0.64,0.54,0.43,,0.33
d_0,,0.45,0.49,0.7,0.51,0.36,0.54,0.52,0.61,1.44,0.67,0.45,0.61,0.32,0.39,0.35
b_0,0.4,0.51,0.5,0.53,,0.33,0.57,0.46,0.55,0.37,1.45,0.61,0.64,0.89,0.61,0.46
f_0,0.54,,0.36,0.52,0.36,0.32,0.52,0.69,0.54,0.71,0.44,1.47,0.5,0.4,0.62,0.93
h_0,0.68,0.77,0.65,0.44,0.45,0.42,,0.57,0.63,0.74,0.67,0.7,,0.64,1.02,0.59
a_0,0.51,0.48,0.42,0.38,0.53,,0.7,0.53,0.46,0.58,0.32,0.56,0.81,1.58,0.83,0.56
g_0,0.97,0.73,0.5,0.6,0.48,0.41,0.57,0.73,,0.79,0.66,0.83,0.7,0.46,,0.69
e_0,0.51,0.58,,0.34,0.6,,0.82,0.57,0.72,0.67,0.62,0.43,0.62,0.51,0.48,1.56
