,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,13.15,0.75,0.48,0.91,0.58,0.53,1.04,0.95,0.84,2.39,0.91,0.88,1.12,1.01,0.64,0.88
f_1,1.57,12.6,0.56,0.66,0.45,0.65,0.78,0.82,0.87,1.02,0.98,0.5,1.08,0.88,0.71,0.76
d_1,0.57,0.74,15.58,0.42,0.67,0.64,1.03,0.97,2.46,0.48,1.21,1.04,0.97,0.97,1.01,1.11
c_1,0.53,0.45,0.67,13.81,1.83,0.65,0.88,0.82,0.37,0.82,0.51,1.1,0.65,0.96,1.04,0.93
b_1,0.58,0.81,0.64,0.55,13.13,1.57,0.88,0.89,0.93,0.79,0.72,0.95,0.75,0.97,1.07,0.92
a_1,0.66,0.63,0.85,0.85,0.54,20.97,0.95,0.96,0.74,0.85,1.11,0.94,0.62,1.06,0.87,1.03
h_1,0.59,1.13,0.88,0.88,0.64,0.67,3.68,1.37,0.92,0.88,1.09,0.94,1.16,0.75,0.87,1.64
g_1,0.5,0.59,1.66,0.86,0.72,0.63,1.16,4.63,0.99,0.7,1.11,2.02,1.02,1.01,1.34,0.91
c_0,0.77,0.96,0.94,0.54,0.52,0.63,1.13,1.24,2.73,0.95,3.48,1.37,1.89,1.44,1.27,1.38
d_0,0.71,0.76,0.34,2.4,0.84,0.71,1.02,0.95,0.6,2.36,0.93,1.23,0.89,0.91,1.03,1.08
b_0,0.66,0.91,0.93,0.88,0.43,0.56,0.98,1.03,1.45,0.93,3.22,1.32,3.74,1.56,1.24,1.18
f_0,0.6,0.61,1.04,0.8,0.89,0.78,1.16,1.17,1.15,0.81,1.28,2.97,0.89,1.29,3.34,1.27
a_0,0.7,0.77,0.84,1.1,0.6,0.44,1.07,1.14,1.05,1.33,1.16,1.32,3.5,1.39,1.13,1.37
h_0,0.75,1.28,0.86,0.7,0.77,0.53,0.69,1.43,1.02,1.08,1.04,0.84,0.92,0.68,1.11,1.55
e_0,0.45,0.87,1.19,0.72,0.78,0.85,1.09,1.04,1.37,0.96,1.39,1.26,1.29,1.55,3.52,1.3
g_0,0.56,0.61,1.78,0.68,0.78,0.61,0.92,0.79,1.19,0.82,0.99,2.26,0.83,1.08,1.75,0.92
