,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.75,1.13,1.53,1.87,2.1,21.36,27.32,44.23,29.32,39.44,45.12,81.99,,121.59,112.57
f_1,1.34,1.0,1.19,1.21,1.78,2.64,16.48,36.8,30.31,34.43,,46.4,67.77,73.53,98.64,82.85
d_1,0.88,0.84,1.0,1.16,1.82,2.46,16.07,18.64,,35.26,36.27,42.72,65.35,71.35,73.25,59.57
c_1,0.65,0.82,0.86,1.0,2.2,2.1,15.94,19.91,18.53,,28.09,28.93,58.7,59.23,78.12,75.55
b_1,0.54,0.56,0.55,0.45,1.0,2.07,9.94,15.15,16.24,17.9,21.99,,38.78,57.98,50.94,
a_1,0.48,0.38,0.41,0.48,0.48,1.0,6.93,8.85,8.88,9.98,12.92,12.05,19.14,,35.71,
h_1,0.05,0.06,0.06,0.06,0.1,0.14,1.0,2.13,1.44,1.87,2.06,2.1,,4.19,5.14,6.81
g_1,0.04,0.03,0.05,0.05,0.07,0.11,0.47,1.0,1.08,1.02,1.72,1.24,1.98,2.85,,3.75
d_0,0.02,0.03,,0.05,0.06,0.11,0.69,0.93,1.0,0.92,1.27,1.24,2.29,2.65,3.39,3.7
c_0,0.03,0.03,0.03,,0.06,0.1,0.54,0.98,1.09,1.0,1.46,1.97,2.16,2.94,3.13,3.63
f_0,0.03,,0.03,0.04,0.05,0.08,0.49,0.58,0.79,0.69,1.0,1.11,1.56,2.44,2.43,2.79
b_0,0.02,0.02,0.02,0.03,,0.08,0.48,0.8,0.81,0.51,0.9,1.0,1.55,2.74,3.11,3.22
h_0,0.01,0.01,0.02,0.02,0.03,0.05,,0.51,0.44,0.46,0.64,0.65,,1.23,1.67,1.54
e_0,,0.01,0.01,0.02,0.02,,0.24,0.35,0.38,0.34,0.41,0.37,0.81,1.0,0.92,
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.19,,0.29,0.32,0.41,0.32,0.6,1.08,,0.85
a_0,0.01,0.01,0.02,0.01,,,0.15,0.27,0.27,0.28,0.36,0.31,0.65,,1.17,1.0
