,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.43,2.2,3.11,3.62,4.54,4.78,1.73,1.63,1.41,1.24,2.22,2.2,1.5,2.08,,1.58
f_1,3.86,0.43,3.59,3.56,3.28,3.56,1.34,1.86,1.3,1.46,1.97,,1.13,1.87,1.3,1.66
c_1,3.67,3.29,0.4,7.51,4.08,3.92,1.89,0.89,,1.41,2.12,1.65,1.07,1.42,2.03,1.2
d_1,3.94,3.87,2.64,0.39,3.11,4.37,1.83,,1.49,1.8,1.33,1.89,1.2,1.39,1.65,1.06
b_1,2.76,3.76,2.17,3.51,0.37,5.22,2.18,1.91,1.62,,1.82,2.05,1.75,1.48,1.47,1.13
a_1,3.48,3.42,3.71,2.91,2.06,0.3,1.94,2.09,2.5,,1.73,1.47,1.17,,1.53,1.43
h_1,1.97,2.21,1.54,1.63,1.57,1.75,0.26,0.83,0.77,0.75,0.84,0.91,,0.86,0.75,0.68
d_0,1.08,1.56,2.12,,1.22,1.22,0.83,0.3,0.75,0.73,0.9,0.56,0.62,0.64,,0.69
c_0,2.06,1.76,,1.23,1.84,1.25,0.95,0.65,0.28,0.75,0.77,0.61,0.51,0.77,0.58,0.48
b_0,1.62,2.01,2.53,1.21,,,0.96,0.69,0.55,0.25,0.72,0.59,0.53,0.71,,0.74
g_1,1.9,1.97,1.8,2.0,2.49,1.87,0.92,0.75,0.9,0.86,0.2,0.74,0.54,,0.7,
f_0,1.44,,1.73,1.44,1.46,1.47,0.71,0.91,0.75,0.83,0.7,0.24,0.7,0.62,0.7,0.4
h_0,1.2,1.47,1.41,1.2,1.35,1.01,,0.59,0.56,0.6,0.76,0.46,,0.65,0.45,0.46
a_0,1.34,1.35,2.29,1.77,1.9,,0.91,0.8,0.63,0.52,,0.7,0.58,0.22,0.7,0.62
e_0,,1.77,1.2,1.37,1.92,1.42,0.79,,0.77,,0.89,0.49,0.68,0.7,0.21,0.62
g_0,1.58,1.22,1.24,1.25,1.32,1.56,0.55,0.51,0.66,0.53,,0.69,0.43,0.58,0.68,
