,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.83,0.85,0.86,0.65,0.76,0.71,0.99,0.94,1.67,0.77,1.24,1.05,1.05,1.14,1.01,0.93
e_1,0.75,1.77,0.81,0.98,0.74,0.78,1.09,0.97,0.98,1.54,1.09,1.09,0.97,1.03,1.08,0.84
f_1,0.76,1.22,1.79,0.85,0.77,0.67,0.89,0.86,0.81,0.93,0.85,0.72,0.9,0.83,0.97,0.73
c_1,0.79,0.71,0.84,1.99,1.38,0.81,0.87,0.96,0.53,0.84,0.63,0.85,1.01,0.93,0.86,1.05
b_1,0.86,0.74,0.84,0.8,2.1,1.54,0.87,0.89,0.8,0.9,0.66,0.93,0.93,0.9,0.61,1.04
a_1,0.87,0.81,0.83,0.82,0.78,2.86,1.03,0.99,1.06,1.03,1.15,1.05,1.1,0.83,0.77,0.95
h_1,0.99,0.77,1.07,0.76,0.84,0.77,1.79,1.39,1.09,0.89,1.11,1.15,0.84,1.29,1.18,1.17
g_1,1.34,0.84,0.85,0.72,0.79,0.72,0.98,2.06,1.03,0.74,1.06,1.36,0.97,0.84,1.1,1.15
c_0,1.0,0.95,1.01,0.68,0.62,0.69,1.19,1.02,1.55,0.94,1.86,1.14,1.15,1.15,1.5,1.16
d_0,0.69,0.8,0.96,1.49,0.81,0.75,1.01,0.99,0.63,1.4,0.89,1.0,1.04,1.08,1.08,1.18
b_0,0.95,0.87,0.97,1.02,0.65,0.47,1.07,1.05,1.0,1.06,1.68,1.0,1.22,1.18,2.15,1.14
f_0,1.07,0.77,0.77,0.95,0.74,0.81,1.03,1.19,1.1,1.07,1.14,1.72,1.18,1.18,1.15,1.96
h_0,0.96,0.9,1.16,0.88,0.74,0.79,0.77,1.25,0.98,0.94,1.03,0.89,0.79,1.41,0.87,1.14
g_0,1.23,0.77,0.85,0.83,0.76,0.9,1.05,0.86,1.1,0.91,1.15,1.59,0.95,0.97,1.06,1.24
a_0,0.95,0.85,0.92,1.05,0.91,0.55,1.13,1.0,0.96,0.89,0.97,1.14,1.22,1.22,2.11,1.03
e_0,0.94,0.69,0.99,0.91,0.87,0.83,1.1,1.1,0.95,0.87,1.13,1.03,1.27,1.09,1.1,2.12
