,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.77,1.01,0.88,0.84,0.74,0.54,0.62,0.47,0.41,0.44,0.39,0.38,0.34,0.35,0.35
f_1,1.3,1.0,0.98,0.86,0.94,0.86,0.44,0.43,0.4,0.44,0.27,0.35,0.26,0.28,0.32,0.26
c_1,0.99,1.02,1.0,1.12,1.33,0.72,0.49,0.34,0.41,0.33,0.41,0.38,0.44,0.34,0.4,0.31
d_1,1.14,1.16,0.89,1.0,0.94,0.68,0.5,0.52,0.39,0.58,0.4,0.46,0.39,0.31,0.3,0.32
b_1,1.19,1.06,0.75,1.07,1.0,1.23,0.59,0.46,0.55,0.42,0.55,0.44,0.42,0.4,0.29,0.31
a_1,1.34,1.17,1.39,1.47,0.82,1.0,0.68,0.59,0.52,0.66,0.61,0.69,0.49,0.39,0.47,0.62
h_1,1.74,2.31,2.1,2.03,1.67,1.43,1.0,0.87,1.07,0.75,0.7,0.68,0.59,0.57,0.74,0.56
d_0,1.61,2.38,3.1,1.83,2.17,1.63,1.09,1.0,0.9,0.87,0.8,0.73,0.75,0.69,0.65,0.66
g_1,2.06,2.58,2.52,2.57,1.81,1.87,0.96,1.08,1.0,0.82,0.96,0.81,0.67,0.81,0.58,0.59
c_0,2.48,2.31,2.94,1.84,2.28,1.54,1.3,1.24,1.24,1.0,0.98,1.18,0.81,0.8,0.77,0.62
f_0,2.37,3.66,2.49,2.43,1.86,1.59,1.36,1.19,1.05,0.97,1.0,1.06,0.97,0.81,0.66,1.12
b_0,2.52,2.92,2.69,2.04,2.37,1.47,1.47,1.38,1.29,0.8,0.94,1.0,0.9,1.18,0.75,0.8
h_0,2.58,3.93,2.36,2.47,2.46,2.03,1.7,1.41,1.43,1.25,1.01,1.08,1.0,0.95,1.11,0.75
a_0,2.89,3.56,2.88,3.17,2.66,2.56,1.73,1.34,1.21,1.27,1.16,0.87,1.06,1.0,0.87,0.89
g_0,2.92,3.26,2.69,3.28,3.32,1.99,1.39,1.53,1.87,1.3,1.47,1.28,0.9,1.19,1.0,1.06
e_0,3.5,3.73,3.23,3.2,3.23,1.65,1.73,1.49,1.78,1.69,0.91,1.21,1.34,1.16,0.88,1.01
