,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.42,0.6,0.82,1.02,0.9,0.92,0.51,0.56,0.54,0.36,0.44,0.44,0.49,0.37,0.37,0.78
f_1,0.94,0.42,0.77,0.86,0.94,0.8,0.39,0.39,0.58,0.39,0.33,0.54,0.38,0.25,0.36,0.28
d_1,1.05,0.99,0.4,0.77,0.78,0.81,0.44,0.64,0.32,0.46,0.4,0.37,0.36,0.32,0.25,0.38
c_1,0.72,0.89,1.12,0.38,1.1,0.79,0.48,0.23,0.47,0.55,0.36,0.35,0.34,0.33,0.28,0.35
b_1,1.01,0.9,0.92,0.54,0.34,1.22,0.47,0.36,0.53,0.39,0.79,0.46,0.39,0.46,0.37,0.43
a_1,0.81,1.06,0.91,1.04,0.49,0.3,0.53,0.41,0.51,0.4,0.55,0.44,0.77,0.32,0.45,0.41
h_1,0.81,0.79,0.76,0.76,0.82,0.74,0.26,0.37,0.43,0.34,0.34,0.35,0.34,0.39,0.3,0.35
d_0,0.45,0.89,1.12,0.99,1.03,0.77,0.47,0.26,0.5,0.31,0.38,0.35,0.35,0.29,0.31,0.37
g_1,0.72,0.7,0.97,0.77,0.73,0.83,0.37,0.32,0.22,0.41,0.38,0.41,0.4,0.23,0.48,0.36
c_0,0.86,0.75,0.5,1.31,0.9,0.7,0.45,0.5,0.39,0.25,0.43,0.39,0.4,0.35,0.36,0.33
b_0,0.63,0.99,0.72,0.91,1.32,0.69,0.44,0.38,0.38,0.22,0.23,0.33,0.43,0.32,0.27,0.4
f_0,0.7,1.4,0.74,0.83,0.76,0.69,0.42,0.38,0.28,0.33,0.35,0.23,0.38,0.32,0.22,0.43
a_0,0.68,0.82,0.74,0.96,0.96,1.06,0.45,0.41,0.41,0.36,0.22,0.3,0.21,0.32,0.28,0.37
h_0,0.65,0.86,0.72,0.88,0.71,0.7,0.54,0.36,0.53,0.31,0.36,0.35,0.32,0.4,0.3,0.32
g_0,0.73,0.86,0.78,0.98,0.82,0.53,0.38,0.37,0.44,0.28,0.33,0.36,0.37,0.24,0.37,0.3
e_0,0.89,1.19,0.74,0.78,0.74,0.71,0.4,0.36,0.35,0.38,0.33,0.21,0.36,0.32,0.33,0.2
