,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.59,0.62,0.65,0.74,0.64,0.14,0.13,0.21,0.12,0.12,0.25,0.07,0.12,0.14,0.11
e_1,0.38,0.16,0.7,0.79,0.77,0.8,0.21,0.13,0.22,0.14,0.13,0.16,0.11,0.14,0.25,0.11
d_1,0.75,0.83,0.15,0.65,0.57,0.54,0.16,0.13,0.11,0.35,0.13,0.13,0.09,0.12,0.13,0.06
c_1,0.66,0.56,0.95,0.15,0.65,0.52,0.22,0.21,0.2,0.07,0.13,0.12,0.1,0.13,0.12,0.09
b_1,0.71,0.69,0.65,0.35,0.14,0.84,0.18,0.18,0.22,0.15,0.27,0.12,0.1,0.15,0.12,0.1
a_1,0.78,0.77,0.64,0.92,0.33,0.09,0.19,0.16,0.21,0.13,0.22,0.14,0.1,0.36,0.18,0.12
h_1,0.55,0.5,0.44,0.62,0.45,0.45,0.06,0.12,0.18,0.13,0.16,0.12,0.12,0.1,0.1,0.08
c_0,0.65,0.53,0.27,1.24,0.61,0.44,0.17,0.06,0.13,0.14,0.11,0.12,0.07,0.11,0.1,0.08
g_1,0.56,0.47,0.53,0.57,0.58,0.46,0.13,0.15,0.05,0.12,0.09,0.11,0.06,0.15,0.1,0.13
d_0,0.58,0.28,0.81,0.62,0.64,0.55,0.16,0.12,0.18,0.06,0.1,0.09,0.07,0.1,0.11,0.1
b_0,0.52,0.52,0.41,0.72,0.83,0.51,0.14,0.06,0.17,0.1,0.05,0.11,0.07,0.11,0.1,0.1
f_0,1.01,0.5,0.4,0.48,0.51,0.51,0.16,0.11,0.09,0.11,0.12,0.05,0.09,0.1,0.11,0.05
h_0,0.5,0.52,0.48,0.53,0.49,0.47,0.21,0.12,0.14,0.12,0.09,0.1,0.11,0.1,0.11,0.09
a_0,0.57,0.47,0.49,0.47,0.69,0.95,0.15,0.1,0.14,0.1,0.05,0.09,0.08,0.04,0.1,0.08
e_0,0.74,0.8,0.43,0.47,0.48,0.58,0.14,0.1,0.13,0.13,0.09,0.05,0.07,0.1,0.04,0.08
g_0,0.63,0.5,0.46,0.55,0.45,0.48,0.1,0.13,0.22,0.12,0.11,0.12,0.05,0.11,0.09,0.11
