,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.74,0.99,1.02,0.92,0.67,0.55,0.5,0.49,0.55,0.41,0.41,0.35,0.36,0.32,0.32
f_1,1.35,1.0,0.9,1.01,0.77,0.72,0.39,0.44,0.36,0.38,0.35,0.36,0.31,0.27,0.26,0.32
d_1,1.01,1.1,1.0,0.81,0.92,0.75,0.53,0.4,0.53,0.45,0.37,0.41,0.33,0.3,0.38,0.25
c_1,0.99,0.98,1.23,1.0,1.28,0.83,0.55,0.45,0.31,0.33,0.41,0.33,0.37,0.37,0.34,0.32
b_1,1.09,1.32,1.1,0.78,1.0,1.26,0.61,0.54,0.52,0.46,0.49,0.5,0.35,0.44,0.32,0.38
a_1,1.52,1.4,1.33,1.21,0.78,1.0,0.73,0.71,0.59,0.71,0.57,0.6,0.58,0.53,0.53,0.5
h_1,1.81,2.58,1.82,1.8,1.71,1.36,1.0,1.22,0.8,0.81,0.69,0.81,0.69,0.76,0.65,0.74
g_1,2.04,2.17,2.62,2.06,1.88,1.33,0.83,1.0,0.91,0.77,1.08,0.81,0.68,0.67,0.69,0.75
c_0,2.12,2.7,1.92,3.03,1.87,1.64,1.25,1.05,1.0,1.06,0.91,1.41,0.97,0.94,0.89,0.8
d_0,1.81,2.5,2.26,3.02,2.24,1.36,1.25,1.26,0.95,1.0,0.89,0.93,0.93,0.97,0.87,0.75
f_0,2.34,2.91,2.63,2.47,2.12,1.68,1.42,0.93,1.1,1.11,1.0,0.94,0.88,0.91,1.23,0.65
b_0,2.48,2.83,2.27,3.15,2.21,1.6,1.16,1.24,0.74,1.07,1.11,1.0,1.23,0.93,0.79,0.84
a_0,2.86,3.22,3.02,2.8,2.82,1.87,1.51,1.5,1.08,1.12,1.15,0.79,1.0,1.11,0.77,0.92
h_0,2.83,3.79,3.22,2.61,2.31,1.82,1.33,1.47,1.06,1.07,1.1,1.04,0.93,1.0,0.82,1.02
e_0,3.27,3.83,2.72,2.93,3.11,1.79,1.45,1.48,1.26,1.18,0.83,1.22,1.18,1.13,1.0,0.87
g_0,3.08,3.09,3.9,3.1,2.67,2.12,1.34,1.34,1.23,1.29,1.56,1.25,1.12,0.97,1.06,1.0
