,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.51,0.17,0.17,0.15,0.18,0.14,0.18,0.16,0.36,0.17,,0.21,0.22,0.15,0.16,0.17
f_1,0.17,1.51,0.28,0.13,0.15,0.16,0.19,0.17,0.21,0.23,0.2,,0.15,0.15,0.15,0.21
e_1,0.15,0.14,1.51,0.15,0.18,0.15,0.21,0.18,0.19,0.17,0.36,0.16,0.22,0.14,,0.17
c_1,0.18,0.18,0.21,1.55,0.21,0.09,0.2,0.18,,0.16,0.23,0.2,0.21,0.18,0.15,0.24
b_1,0.15,0.22,0.17,0.14,1.6,0.31,0.22,0.15,0.25,,0.18,0.15,0.25,0.21,,0.16
a_1,0.16,0.21,0.18,0.21,0.1,1.7,0.25,0.15,0.21,0.25,0.23,0.17,0.33,,0.17,0.15
h_1,0.45,0.48,0.33,0.43,0.36,0.29,1.64,0.59,0.48,0.44,0.32,0.4,,0.34,0.35,0.61
g_1,0.55,0.38,0.33,0.39,0.45,0.32,0.34,1.7,0.42,0.45,0.47,0.52,0.62,0.4,0.32,
c_0,0.33,0.43,0.46,,0.32,0.41,0.52,0.58,1.42,0.87,0.45,0.63,0.62,0.52,0.43,0.52
b_0,0.58,0.44,0.45,0.49,,0.27,0.56,0.52,0.55,1.44,0.66,0.58,0.51,0.73,0.4,0.46
d_0,,0.5,0.46,0.75,0.4,0.33,0.63,0.47,0.52,0.45,1.4,0.58,0.67,0.53,0.49,0.5
f_0,0.45,,0.47,0.47,0.59,0.39,0.59,0.57,0.47,0.53,0.46,1.47,0.62,0.34,,0.48
h_0,0.67,0.67,0.58,0.6,0.52,0.41,,0.62,0.74,0.94,0.67,0.65,,0.5,0.68,0.79
a_0,0.47,0.55,0.4,0.43,0.37,,0.71,0.55,0.51,0.42,0.49,0.73,0.72,1.61,,0.89
e_0,0.5,0.49,,0.52,,0.43,0.57,0.7,0.6,0.53,0.5,,0.66,,1.65,0.59
g_0,0.87,0.58,0.5,0.46,0.68,0.52,0.63,,0.78,0.72,0.81,1.02,0.7,0.43,0.61,
