,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.61,1.0,1.1,1.01,0.59,0.47,0.5,0.58,0.45,0.39,0.37,0.3,,0.44,0.31
f_1,1.63,1.0,0.92,0.86,0.88,0.75,0.44,0.48,0.42,0.44,,0.42,0.37,0.33,0.22,0.3
d_1,1.0,1.09,1.0,0.92,0.89,0.74,0.47,0.3,,0.64,0.4,0.47,0.38,0.39,0.29,0.34
c_1,0.91,1.16,1.09,1.0,1.14,0.94,0.47,0.45,0.34,,0.43,0.42,0.33,0.33,0.34,0.38
b_1,0.99,1.14,1.12,0.88,1.0,1.0,0.54,0.52,0.39,0.49,0.37,,0.49,0.37,0.31,
a_1,1.69,1.34,1.36,1.06,1.0,1.0,0.67,0.59,0.58,0.64,0.54,0.53,0.41,,0.39,
h_1,2.14,2.25,2.14,2.14,1.85,1.48,1.0,0.85,0.86,0.93,0.96,0.82,,0.58,0.67,0.55
g_1,2.02,2.1,3.36,2.21,1.93,1.69,1.18,1.0,0.83,0.84,0.9,1.04,0.63,0.64,,0.69
d_0,1.73,2.35,,2.94,2.54,1.74,1.17,1.21,1.0,0.85,0.92,0.84,1.02,,0.73,0.68
c_0,2.24,2.27,1.56,,2.02,1.56,1.07,1.19,1.18,1.0,1.15,1.56,0.81,0.75,0.74,0.85
f_0,2.57,,2.49,2.34,2.71,1.85,1.04,1.11,1.09,0.87,1.0,0.63,0.82,1.41,0.6,0.91
b_0,2.7,2.38,2.12,2.37,,1.87,1.22,0.97,1.19,0.64,1.58,1.0,0.99,0.84,1.12,1.17
h_0,3.29,2.7,2.62,3.03,2.03,2.47,,1.59,0.98,1.24,1.22,1.01,,0.8,1.24,0.78
e_0,,3.05,2.6,3.07,2.71,,1.73,1.57,,1.33,0.71,1.19,1.25,1.0,0.93,0.93
g_0,2.26,4.48,3.48,2.92,3.26,2.57,1.49,,1.37,1.35,1.67,0.89,0.81,1.07,,
a_0,3.22,3.34,2.96,2.65,,,1.81,1.44,1.47,1.17,1.09,0.86,1.28,1.08,,1.0
