,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.36,1.08,1.17,1.31,1.13,1.01,2.42,2.23,2.15,4.31,2.59,2.61,3.3,2.51,1.87,3.22
f_1,1.68,2.43,1.09,1.05,1.01,1.14,1.78,2.21,1.71,2.19,2.37,1.25,2.64,2.29,1.8,2.76
d_1,1.09,1.18,2.49,1.06,1.11,1.27,2.29,3.9,2.2,1.65,2.43,2.44,3.09,2.44,2.9,2.53
c_1,1.09,1.15,1.13,2.69,1.81,0.87,2.01,1.37,2.37,1.96,2.31,2.54,2.98,2.02,2.35,3.18
b_1,1.1,1.23,1.15,0.99,2.89,1.94,2.28,2.17,1.7,2.34,1.09,2.46,3.05,2.05,2.44,2.96
a_1,1.19,1.14,1.07,1.34,0.89,3.19,2.44,2.47,2.45,2.11,3.14,2.96,3.59,2.67,2.87,3.51
h_1,1.07,1.63,1.25,1.22,1.2,1.1,4.03,2.36,3.22,2.8,3.03,2.9,2.45,2.57,2.86,4.12
c_0,1.3,1.32,1.19,0.92,1.14,1.15,2.89,3.94,2.65,3.05,4.6,3.07,3.85,3.47,3.03,3.51
g_1,1.03,1.24,1.68,1.12,1.47,1.3,1.93,2.71,4.46,2.15,2.85,3.78,2.63,2.76,2.48,2.12
d_0,1.02,1.32,0.87,2.09,1.3,1.2,2.24,2.37,2.58,3.85,2.9,2.51,3.78,2.71,2.86,3.99
b_0,1.15,1.34,1.46,1.26,1.2,0.94,2.41,2.45,2.43,2.72,4.1,2.87,3.14,5.41,2.96,3.51
f_0,0.95,1.0,1.48,1.53,1.29,1.25,2.52,2.73,2.3,3.26,2.66,4.31,3.78,3.23,4.84,3.29
h_0,1.32,1.58,1.32,1.26,1.26,0.99,1.85,2.42,3.16,2.64,3.13,2.51,2.5,2.62,2.64,3.91
a_0,1.19,1.28,1.47,1.47,1.32,0.49,2.58,2.82,2.35,2.97,2.09,2.71,4.09,4.8,3.04,3.23
e_0,0.78,1.67,1.09,1.31,1.19,1.28,2.85,3.06,2.93,2.59,3.08,2.67,4.06,3.25,5.0,3.32
g_0,1.13,1.22,1.83,1.33,1.15,1.04,2.02,2.76,2.05,2.32,2.9,3.7,2.98,2.88,2.98,2.82
