,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.93,0.07,0.08,0.09,0.09,0.05,0.07,0.1,0.07,0.05,0.06,0.06,0.07,0.05,,0.06
f_1,0.18,0.93,0.08,0.1,0.06,0.05,0.07,0.07,0.07,0.05,0.07,,0.05,0.05,0.04,0.07
d_1,0.14,0.13,0.93,0.07,0.11,0.07,0.08,,0.1,0.05,0.06,0.07,0.06,0.05,0.03,0.04
c_1,0.14,0.09,0.13,0.93,0.15,0.07,0.06,0.06,,0.06,0.06,0.07,0.07,0.04,0.04,0.05
b_1,0.1,0.15,0.09,0.09,0.93,0.14,0.08,0.1,0.07,0.08,,0.06,0.05,,0.05,0.04
a_1,0.15,0.16,0.11,0.11,0.06,0.93,0.12,0.09,0.05,0.05,0.07,,0.06,,0.07,
h_1,0.3,0.42,0.26,0.27,0.24,0.14,0.71,0.18,0.16,0.21,0.18,0.16,,0.1,0.12,0.18
d_0,0.34,0.41,,0.55,0.29,0.21,0.2,0.58,0.24,0.18,0.18,0.25,0.19,0.15,0.11,0.14
c_0,0.37,0.4,0.33,,0.26,0.32,0.25,0.18,0.59,0.22,0.32,0.17,0.22,0.11,0.12,0.17
g_1,0.31,0.3,0.49,0.26,0.19,0.19,0.18,0.22,0.18,0.71,0.17,0.22,0.16,0.12,0.13,
b_0,0.44,0.32,0.36,0.3,,0.28,0.28,0.29,0.21,0.19,0.58,0.2,0.21,,0.13,0.13
f_0,0.36,,0.29,0.4,0.27,,0.23,0.21,0.29,0.19,0.26,0.58,0.18,0.13,0.29,0.17
h_0,0.44,0.58,0.49,0.36,0.42,0.32,,0.38,0.32,0.32,0.27,0.3,,0.2,0.19,0.32
a_0,0.35,0.42,0.3,0.45,,,0.39,0.27,0.3,0.27,,0.28,0.27,0.57,,0.24
e_0,,0.42,0.48,0.31,0.42,0.23,0.23,0.27,0.33,0.28,0.29,0.17,0.29,,0.58,0.18
g_0,0.41,0.35,0.73,0.45,0.56,,0.32,0.31,0.33,,0.38,0.45,0.23,0.2,0.2,
