,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,34.52,0.13,0.07,0.06,0.08,0.06,0.39,0.41,0.37,0.3,0.25,,0.53,,0.33,0.54
e_1,0.07,35.52,0.06,0.07,0.05,0.09,0.28,0.6,0.31,0.21,0.43,0.41,0.6,,0.41,0.64
c_1,0.07,0.05,41.76,0.06,0.14,0.06,0.28,0.41,,0.33,0.29,0.42,0.68,0.47,0.39,0.47
d_1,0.09,0.07,0.05,43.26,0.07,0.05,0.23,,0.67,0.29,0.37,0.42,0.7,0.4,0.42,0.56
b_1,0.08,0.05,0.08,0.07,48.53,0.17,0.35,0.33,0.34,0.19,,0.38,0.65,0.51,,0.35
a_1,0.07,0.05,0.04,0.06,0.08,70.28,0.35,0.43,0.45,0.38,0.4,0.39,0.52,,,0.6
h_1,0.38,0.25,0.2,0.28,0.24,0.24,29.23,1.47,1.16,1.58,1.62,1.81,,1.41,1.42,2.88
d_0,0.29,0.39,0.82,,0.3,0.32,1.34,16.3,2.04,1.23,2.22,1.7,3.38,2.84,1.55,2.47
c_0,0.23,0.4,,0.36,0.35,0.37,2.31,1.88,18.76,1.69,3.06,2.07,3.06,1.45,1.92,3.54
g_1,0.21,0.17,0.28,0.47,0.24,0.27,0.63,1.28,1.96,37.71,1.35,2.35,2.42,,1.48,
b_0,0.43,0.38,0.28,0.31,,,1.81,1.39,2.15,1.28,22.79,1.93,3.77,1.54,3.86,3.32
f_0,,0.32,0.56,0.37,0.37,0.26,1.77,2.21,1.52,1.15,1.93,22.54,2.62,6.02,,2.94
h_0,0.79,0.4,0.47,0.35,0.54,0.59,,3.58,4.28,3.38,4.18,1.68,,2.34,3.59,5.96
e_0,0.33,,0.4,0.52,0.44,,1.06,3.38,1.93,1.48,,2.25,2.7,31.05,2.29,3.7
a_0,0.4,0.34,0.36,0.39,0.25,,1.06,2.3,1.47,,2.51,1.82,3.99,,34.59,3.0
g_0,0.36,0.47,0.47,1.15,0.54,0.55,2.33,2.18,3.52,,2.46,5.46,4.2,2.75,,
