,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,17.9,0.39,0.63,0.72,0.47,0.51,0.93,0.82,0.87,2.21,1.11,1.01,0.89,0.34,0.82,0.71
d_1,0.56,19.51,0.51,0.41,0.48,0.51,0.9,0.85,2.33,0.25,1.17,1.13,0.96,1.13,1.03,1.06
f_1,1.16,0.61,17.82,0.43,0.42,0.38,0.9,0.9,0.81,0.87,0.25,0.9,0.76,0.57,1.11,0.89
c_1,0.37,0.48,0.53,20.79,1.23,0.46,0.81,0.73,0.31,0.95,0.94,0.51,1.05,0.95,0.77,1.17
b_1,0.48,0.43,0.48,0.52,21.69,1.42,0.83,0.79,0.61,0.83,0.91,0.24,1.15,0.98,0.71,0.91
a_1,0.48,0.57,0.53,0.71,0.55,29.33,0.69,1.02,0.76,0.83,0.81,1.21,0.85,1.22,0.31,0.93
h_1,0.53,0.78,1.02,0.79,0.62,0.55,4.92,1.38,1.1,0.94,1.21,1.33,0.7,1.2,1.14,1.68
g_1,0.6,1.57,0.55,0.37,0.58,0.72,1.15,6.73,1.44,0.79,1.87,1.35,0.94,1.31,1.1,0.59
c_0,0.66,0.91,0.87,0.33,0.54,0.63,1.32,1.18,3.68,0.97,1.36,3.16,1.17,1.14,1.66,1.29
d_0,0.67,0.21,0.68,2.12,0.76,0.46,1.25,0.83,0.62,3.65,0.98,1.2,1.45,1.01,1.2,0.99
f_0,0.52,0.85,0.43,0.6,0.72,0.62,1.41,1.37,1.39,1.1,4.41,1.47,1.53,4.0,1.33,1.33
b_0,0.57,1.17,0.81,0.78,0.24,0.42,1.16,1.23,1.12,1.05,1.18,4.39,1.65,1.31,3.45,1.21
h_0,0.55,0.8,1.15,0.85,0.56,0.82,0.47,1.79,1.1,1.26,1.1,1.16,0.81,1.19,1.65,1.94
e_0,0.27,0.92,1.01,0.64,0.58,0.81,1.45,1.21,1.01,0.97,1.13,1.29,1.75,5.15,1.08,1.29
a_0,0.7,0.79,0.91,0.7,0.61,0.23,1.43,1.08,1.06,0.97,1.5,1.35,1.66,1.33,5.37,1.38
g_0,0.48,1.46,0.53,0.92,0.65,0.71,1.03,0.54,1.02,0.85,1.87,1.37,1.23,1.39,1.12,0.6
