,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,5.75,0.66,0.71,0.46,0.52,0.52,1.97,5.31,2.47,2.69,3.15,2.82,4.1,3.42,5.08,0.86
f_1,1.06,6.05,0.58,0.57,0.55,0.66,2.14,2.35,1.54,3.11,0.56,2.57,3.66,2.4,3.38,2.45
c_1,0.61,0.56,6.5,0.59,1.1,0.52,1.98,2.79,1.86,0.53,3.25,2.33,4.83,2.51,4.55,2.78
d_1,0.52,0.7,0.47,6.62,0.53,0.52,2.27,0.82,2.38,5.38,2.92,3.27,4.94,2.38,5.45,2.93
b_1,0.58,0.51,0.55,0.55,7.31,1.35,2.17,2.14,2.46,2.26,3.34,0.76,5.21,2.36,3.49,2.8
a_1,0.54,0.54,0.65,0.74,0.66,9.97,2.11,2.41,2.29,2.97,3.51,3.09,4.1,0.58,3.86,3.8
h_1,0.76,1.34,1.09,1.26,0.96,0.87,14.55,5.08,5.09,4.69,5.35,4.98,2.33,4.92,8.65,5.95
d_0,1.11,1.05,2.26,0.35,1.01,0.83,4.14,13.04,2.83,4.09,4.95,4.55,6.69,5.83,6.16,6.27
g_1,0.93,0.93,1.19,1.61,0.9,1.23,3.49,4.19,18.28,3.45,7.18,4.23,6.62,5.03,2.04,4.02
c_0,1.12,1.12,0.5,1.41,1.03,0.75,4.6,5.01,3.9,14.66,5.8,10.49,7.56,5.28,7.89,5.23
f_0,0.97,0.66,1.27,1.29,0.85,0.86,4.81,5.3,4.96,5.0,15.35,6.5,8.72,6.81,8.15,12.46
b_0,1.02,1.35,1.1,1.02,0.38,0.6,5.19,6.09,4.1,5.98,5.46,17.89,8.68,12.12,7.84,6.17
h_0,0.8,1.72,0.91,1.11,1.06,0.86,1.75,4.69,4.69,5.27,4.51,5.4,2.91,5.99,9.63,4.45
a_0,1.17,1.36,1.07,1.14,0.85,0.4,4.48,6.36,3.13,4.68,6.36,6.48,8.54,23.6,7.46,7.18
g_0,1.03,0.86,0.85,1.65,1.19,0.72,3.3,4.57,2.04,5.12,7.91,5.53,6.26,6.0,3.12,7.9
e_0,0.44,1.13,1.15,1.28,1.22,0.63,5.2,5.87,4.56,7.17,5.84,5.48,8.56,7.37,8.73,25.28
