,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,37.2,0.1,0.06,0.06,0.08,0.08,0.38,0.33,0.53,0.37,,0.37,0.52,0.28,0.28,0.42
e_1,0.07,37.56,0.08,0.06,0.06,0.09,0.27,0.17,0.59,0.35,0.42,0.39,0.55,,0.33,0.52
c_1,0.07,0.06,39.52,0.05,0.13,0.06,0.31,0.33,0.34,,0.34,0.21,0.77,0.44,0.3,0.74
d_1,0.07,0.07,0.07,40.88,0.08,,0.3,0.26,,0.83,0.3,0.37,0.76,0.28,0.3,0.5
b_1,0.07,0.07,0.08,0.06,47.81,0.15,0.35,0.25,0.45,0.34,0.36,,0.5,0.34,0.31,0.38
a_1,0.08,0.07,0.07,0.06,0.06,78.09,0.31,0.24,0.38,0.27,0.45,0.41,0.48,0.53,,
h_1,0.34,0.27,0.27,0.25,0.23,0.3,28.2,1.63,1.51,1.38,1.58,1.11,,1.6,1.08,2.59
g_1,0.25,0.23,0.2,0.38,0.26,0.25,1.08,34.5,1.51,1.15,2.85,1.92,1.27,1.2,1.03,
d_0,0.39,0.34,0.64,,0.35,0.37,1.99,1.12,15.8,1.9,1.84,2.03,3.26,1.41,3.15,2.67
c_0,0.5,0.35,,0.34,0.21,,1.23,1.51,1.9,18.85,2.19,4.33,3.32,1.93,1.33,3.23
f_0,,0.33,0.4,0.46,0.31,0.33,1.12,0.88,2.3,2.12,20.24,1.62,3.64,4.36,,3.22
b_0,0.3,0.33,0.36,0.35,,0.33,1.4,1.57,1.97,1.88,1.62,21.95,4.77,,4.16,2.28
h_0,0.59,0.45,0.48,0.61,0.58,0.47,,3.83,2.86,2.89,2.69,2.18,,3.14,4.45,6.49
e_0,0.35,,0.28,0.31,0.42,,1.46,1.49,2.32,2.83,1.68,2.68,1.53,29.8,2.69,4.12
a_0,0.22,0.42,0.36,0.48,0.24,,1.32,1.23,1.75,1.45,1.61,1.84,3.85,2.17,30.67,4.42
g_0,0.52,0.47,0.44,0.87,0.55,0.5,2.1,,2.61,2.81,4.25,3.02,4.25,3.74,2.63,
