,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.38,1.22,1.45,1.84,3.11,20.3,27.91,32.82,35.32,39.47,47.48,57.69,116.4,91.92,137.1
e_1,0.73,1.0,1.69,1.31,2.0,3.68,23.74,41.6,37.72,37.0,49.85,49.2,86.14,129.03,147.01,114.09
c_1,0.83,0.59,1.0,1.19,2.17,2.19,15.96,14.65,24.24,19.7,28.13,28.66,53.92,71.43,79.46,97.12
d_1,0.69,0.77,0.84,1.0,1.37,2.18,17.92,22.33,20.09,35.86,31.9,39.81,51.53,94.54,81.31,69.31
b_1,0.54,0.5,0.47,0.72,1.0,2.66,11.51,15.61,17.74,17.34,19.82,22.98,36.92,54.41,63.57,59.28
a_1,0.32,0.27,0.46,0.46,0.37,1.0,6.81,9.99,9.24,11.47,11.98,14.16,21.73,36.19,37.64,36.44
h_1,0.05,0.04,0.06,0.06,0.08,0.14,1.0,1.12,1.7,1.6,1.5,2.07,2.49,4.03,4.54,5.58
d_0,0.03,0.02,0.07,0.05,0.06,0.1,0.89,1.0,1.17,1.21,1.55,1.69,2.44,3.48,3.6,5.85
g_1,0.03,0.03,0.04,0.05,0.06,0.11,0.57,0.82,1.0,0.92,1.6,1.34,1.65,3.64,3.68,3.3
c_0,0.03,0.03,0.05,0.03,0.05,0.08,0.65,0.82,1.08,1.0,1.1,1.87,1.93,3.15,3.64,3.35
f_0,0.03,0.02,0.04,0.03,0.05,0.08,0.65,0.67,0.61,0.91,1.0,1.15,1.71,4.26,2.81,2.49
b_0,0.02,0.02,0.04,0.02,0.04,0.07,0.51,0.59,0.75,0.55,0.84,1.0,1.37,2.27,3.39,2.7
h_0,0.02,0.01,0.02,0.02,0.03,0.05,0.41,0.41,0.58,0.5,0.52,0.69,1.0,1.49,1.67,1.89
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.24,0.29,0.28,0.3,0.24,0.43,0.68,1.0,1.18,1.04
a_0,0.01,0.01,0.01,0.01,0.02,0.02,0.22,0.27,0.26,0.27,0.36,0.3,0.6,0.88,1.0,1.21
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.18,0.31,0.32,0.38,0.38,0.5,0.95,0.86,1.0
