,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11.96,0.74,0.92,0.55,0.59,0.63,0.88,2.36,0.74,0.81,0.86,1.03,1.04,1.03,0.6,1.0
f_1,1.78,12.46,0.57,0.55,0.55,0.61,0.76,0.98,0.85,0.69,0.93,0.58,0.91,0.84,0.72,0.92
c_1,0.49,0.62,13.67,0.65,1.59,0.64,0.79,0.72,0.51,0.91,0.67,1.03,0.67,0.97,0.93,0.9
d_1,0.6,0.7,0.41,15.69,0.58,0.66,1.13,0.45,2.52,1.12,1.49,0.93,1.15,1.11,1.17,0.81
b_1,0.54,0.62,0.83,0.68,13.72,1.35,0.94,0.84,0.79,0.81,0.54,0.79,0.68,0.96,0.93,1.02
a_1,0.68,0.62,0.72,0.79,0.59,22.69,1.11,0.92,0.79,0.96,0.93,1.03,0.84,0.98,1.16,1.28
h_1,0.6,1.41,0.66,0.83,0.7,0.66,4.09,0.83,0.93,1.47,1.19,1.03,1.24,0.64,1.23,1.41
d_0,0.64,0.78,2.43,0.46,0.82,0.55,0.93,2.53,0.67,1.11,0.72,1.01,1.0,1.12,0.99,0.89
c_0,0.67,0.92,0.57,0.99,0.52,0.7,1.31,1.0,2.7,1.34,3.59,1.64,1.64,1.17,1.04,1.14
g_1,0.6,0.55,0.73,1.71,0.75,0.68,0.9,0.63,1.12,5.42,1.1,2.1,1.1,1.05,1.59,0.64
b_0,0.58,0.72,0.76,0.95,0.52,0.87,1.17,1.06,1.34,1.22,3.36,1.39,3.0,1.2,1.28,1.21
f_0,0.48,0.61,0.75,0.87,0.86,0.82,1.22,1.21,1.13,1.23,1.43,3.41,1.27,1.64,3.2,1.07
a_0,0.66,0.88,0.82,0.81,0.68,0.5,1.29,1.14,1.31,1.16,1.29,1.09,3.21,1.24,1.17,1.12
h_0,0.68,1.2,0.76,0.86,0.65,0.74,0.61,0.98,1.16,1.6,1.23,1.14,1.0,0.94,1.2,1.82
e_0,0.44,0.93,0.63,1.07,0.76,0.57,1.44,1.04,1.44,1.36,1.27,1.08,1.27,1.29,3.31,1.5
g_0,0.59,0.65,0.65,1.79,0.66,0.66,1.15,0.82,1.35,0.7,0.9,2.11,0.96,1.0,1.19,0.98
