,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.51,0.74,0.44,0.46,0.38,0.4,0.45,0.55,0.54,0.54,0.54,0.22,0.44,0.51,0.31,0.55
e_1,0.4,1.52,0.35,0.51,0.53,0.39,0.57,0.42,0.57,0.92,0.54,0.49,0.56,0.57,0.26,0.53
d_1,0.53,0.53,1.53,0.42,0.4,0.39,0.55,0.44,0.85,0.18,0.6,0.62,0.44,0.57,0.45,0.46
c_1,0.43,0.48,0.5,1.54,0.76,0.36,0.49,0.37,0.2,0.5,0.41,0.49,0.44,0.63,0.41,0.59
b_1,0.56,0.41,0.54,0.43,1.57,0.57,0.51,0.46,0.51,0.51,0.25,0.52,0.48,0.68,0.58,0.59
a_1,0.56,0.47,0.57,0.5,0.39,1.73,0.61,0.59,0.55,0.67,0.53,0.53,0.21,0.63,0.55,0.68
h_1,0.98,0.69,0.83,0.77,0.67,0.43,1.7,1.07,0.97,0.74,0.92,0.68,0.74,0.53,0.59,0.99
g_1,0.77,0.63,1.09,0.93,0.56,0.51,0.66,1.79,0.68,0.79,0.84,1.17,0.71,0.84,0.86,0.44
c_0,0.82,0.78,0.74,0.5,0.64,0.7,0.87,1.11,1.57,0.88,1.57,0.89,0.91,0.95,0.79,0.83
d_0,0.82,0.61,0.49,1.21,0.76,0.65,1.19,0.77,0.76,1.53,0.89,0.76,0.84,0.86,0.54,0.88
b_0,0.91,0.75,0.82,0.89,0.47,0.5,0.89,0.79,0.87,0.96,1.58,1.04,1.34,1.07,0.64,0.81
f_0,0.51,0.76,0.86,0.91,0.72,0.69,1.03,0.97,1.04,0.99,0.84,1.6,0.77,1.07,1.39,0.74
a_0,0.92,0.65,1.04,0.89,0.78,0.39,1.01,0.88,0.94,0.85,0.85,0.92,1.63,1.26,0.88,0.91
h_0,1.13,0.7,0.9,0.81,0.67,0.62,0.63,1.21,0.99,0.98,0.99,0.79,0.75,0.55,0.99,1.06
e_0,1.06,,0.95,0.97,0.64,0.7,1.27,1.01,0.97,1.17,1.21,0.73,0.71,0.96,1.8,0.98
g_0,0.79,0.79,1.29,0.78,0.7,0.64,0.91,0.7,0.98,0.72,0.93,1.21,0.86,0.87,0.8,0.55
