,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,6.99,15.55,12.62,10.6,13.36,4.17,3.85,2.28,3.11,2.56,3.41,3.66,1.64,,1.88
f_1,13.0,0.17,12.36,17.57,13.09,16.67,2.04,5.38,3.16,2.46,2.77,,2.31,1.18,2.75,1.63
d_1,13.87,16.49,0.16,10.62,13.26,16.26,3.47,2.02,,2.59,2.8,2.08,3.42,1.52,2.8,1.27
c_1,11.19,11.86,14.52,0.15,14.75,13.13,3.78,3.64,1.54,,3.5,2.77,2.56,1.33,2.55,1.89
b_1,14.02,11.32,12.81,5.95,0.13,10.49,3.73,3.8,2.91,3.39,,3.75,2.08,2.01,2.85,2.45
a_1,10.89,14.91,21.67,15.59,6.88,0.09,5.04,4.35,2.42,3.37,3.2,1.73,,1.62,1.93,
h_1,2.81,3.28,3.18,2.97,3.13,4.37,0.07,0.71,0.71,0.77,0.76,0.84,0.74,,0.51,0.5
g_1,3.85,4.68,3.29,3.06,2.61,2.98,0.66,0.06,0.81,0.74,0.68,1.03,0.61,0.56,0.55,
d_0,1.84,2.41,,2.28,2.62,3.13,0.62,0.72,0.08,0.6,0.44,0.38,0.84,0.39,0.47,0.37
c_0,2.17,3.43,1.34,,4.98,2.2,0.79,0.77,0.47,0.08,0.48,0.48,0.44,0.38,0.7,0.35
b_0,2.63,2.54,2.47,4.24,,2.53,0.7,0.96,0.52,0.28,0.07,0.58,0.47,0.38,0.55,0.44
f_0,3.58,,2.66,3.35,2.81,2.72,0.73,0.4,0.57,0.48,0.44,0.06,0.45,0.51,0.39,0.22
a_0,2.48,2.48,3.62,2.27,3.25,,0.74,0.84,0.63,0.48,0.32,0.45,0.06,0.31,,0.35
h_0,1.87,1.66,1.75,2.19,1.44,1.22,,0.54,0.29,0.34,0.37,0.33,0.28,,0.3,0.21
e_0,,3.93,2.4,2.55,3.89,2.63,0.67,0.65,0.57,0.43,0.49,0.25,,0.39,0.05,0.27
g_0,2.88,1.89,1.35,1.81,1.53,,0.42,,0.3,0.27,0.62,0.42,0.31,0.16,0.34,
