,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.1,2.72,2.97,2.64,2.51,2.21,0.56,0.89,0.63,0.59,0.58,0.74,0.34,0.56,0.44,0.57
e_1,1.7,1.11,3.39,2.95,3.97,3.19,0.91,1.02,0.77,0.62,0.65,0.97,0.51,0.62,0.49,1.17
c_1,3.19,2.59,1.11,4.2,2.73,3.13,1.05,0.96,0.38,0.89,0.72,0.67,0.43,0.58,0.51,0.68
d_1,3.41,3.58,3.78,1.1,3.49,3.25,0.82,0.56,1.05,0.6,0.55,0.59,0.42,0.64,0.28,0.59
b_1,5.51,3.76,2.12,4.71,1.11,3.69,1.3,1.28,0.87,1.23,1.69,0.85,0.61,0.99,0.67,0.64
a_1,6.55,6.11,5.7,5.65,3.19,1.13,1.76,1.96,1.66,1.24,1.38,1.79,1.07,2.1,0.97,1.3
h_1,12.17,11.58,11.69,11.58,11.02,10.7,1.64,3.48,2.55,2.62,2.54,2.56,2.41,2.13,1.75,2.48
g_1,15.09,15.34,14.01,12.43,13.85,13.89,3.34,1.68,2.88,2.68,2.81,2.61,1.5,2.93,2.21,2.6
d_0,13.26,8.57,15.07,21.68,15.41,13.39,4.7,4.29,1.95,2.72,3.34,3.31,2.27,3.29,2.61,3.4
c_0,16.73,17.68,29.49,8.95,17.7,15.13,4.62,4.73,5.04,2.06,3.02,3.35,2.59,4.36,2.44,3.94
b_0,18.6,17.94,28.02,14.11,28.28,18.61,4.87,3.99,4.02,1.74,2.03,3.06,2.35,3.06,2.03,2.94
f_0,27.37,19.83,18.53,14.96,19.32,18.99,5.69,3.24,3.93,3.28,3.7,2.0,2.65,3.49,1.58,3.55
h_0,22.15,19.51,20.43,17.75,18.92,17.23,6.36,5.08,4.28,3.46,3.86,3.42,4.06,4.05,2.71,3.63
a_0,22.15,22.15,25.5,23.76,38.1,33.84,6.26,5.04,4.76,3.42,2.49,4.37,3.17,2.18,3.02,4.36
g_0,31.15,28.26,28.98,23.93,27.16,24.81,6.26,9.15,6.18,4.67,4.86,5.36,3.24,5.42,4.89,5.38
e_0,42.11,33.54,30.28,25.24,33.05,38.77,9.62,5.97,5.76,4.53,5.47,2.68,4.03,4.46,3.13,2.11
