,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,3.78,0.35,0.34,0.49,0.37,0.36,0.79,0.77,1.4,0.71,0.93,0.75,0.89,0.23,0.93,0.86
d_1,0.38,3.92,0.43,0.31,0.41,0.38,0.79,0.82,0.17,1.53,0.79,1.0,0.88,0.87,0.93,0.7
f_1,0.78,0.38,4.03,0.38,0.31,0.31,0.74,0.61,0.82,0.77,0.12,0.85,0.61,0.53,0.74,0.88
c_1,0.32,0.39,0.38,4.52,0.79,0.38,0.64,0.77,0.88,0.11,0.77,0.62,0.93,0.64,0.78,0.74
b_1,0.34,0.39,0.41,0.34,5.07,0.72,0.84,0.74,0.85,0.88,0.9,0.2,0.93,0.79,0.45,0.83
a_1,0.36,0.39,0.47,0.49,0.34,6.77,0.8,0.71,0.55,0.78,0.73,0.89,0.92,1.05,0.13,0.94
h_1,0.54,0.68,1.11,0.52,0.63,0.57,5.31,1.65,1.24,1.54,1.36,1.26,0.63,1.71,1.5,2.43
g_1,0.57,1.19,0.51,0.71,0.59,0.69,1.15,5.4,1.17,1.13,2.14,1.38,1.18,1.8,1.27,0.62
d_0,0.84,0.27,0.59,1.37,0.65,0.81,1.37,1.0,3.67,1.02,1.35,0.94,1.45,1.64,1.29,1.79
c_0,0.83,0.93,0.8,0.26,0.5,0.63,1.21,1.24,1.14,4.16,1.67,2.59,1.91,1.66,1.48,1.45
f_0,0.67,0.88,0.23,0.8,0.8,0.58,1.47,1.05,1.66,1.11,4.7,1.45,2.16,3.34,1.6,2.1
b_0,0.56,0.79,0.88,0.74,0.16,0.71,1.47,1.16,1.55,1.54,1.73,4.66,1.68,1.47,3.53,1.66
h_0,0.47,0.77,1.14,0.63,0.67,0.76,0.29,1.76,1.29,1.56,1.47,1.77,0.56,1.55,1.25,1.82
e_0,0.2,0.8,0.81,0.78,0.72,0.77,1.16,2.02,1.86,1.43,1.7,2.11,2.15,6.55,1.6,1.91
a_0,0.67,0.75,0.89,0.72,0.73,,1.16,1.22,1.81,1.29,1.99,1.9,1.99,1.54,6.64,1.43
g_0,0.47,1.23,0.57,0.74,0.53,0.63,1.3,0.56,1.41,1.22,2.31,1.49,2.11,1.92,1.52,0.57
