,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,96.23,12.03,18.14,14.25,23.27,93.55,2020.19,3087.13,6113.64,,5828.38,11143.13,19380.0,27462.37,20126.61,44545.05
f_1,10.93,102.18,28.54,14.46,31.26,63.1,1523.18,3617.74,4772.73,6384.58,6332.7,,14733.72,20548.22,27627.29,33999.84
e_1,7.52,8.33,134.71,18.37,24.08,70.78,1625.29,2973.67,3311.11,7867.27,5519.21,9032.1,15026.64,24124.76,,37341.48
c_1,9.95,13.42,14.05,148.54,43.39,70.12,1545.93,3363.02,,4036.8,2802.11,8423.6,12091.86,23861.2,21023.68,28393.38
b_1,9.77,9.24,12.56,10.91,222.83,90.63,1399.26,3006.66,3301.04,4391.31,,5460.34,7630.79,15883.96,16967.59,25843.28
a_1,4.86,5.13,8.06,10.85,17.59,490.16,1156.77,1367.62,2345.57,2624.7,3577.02,5541.16,,11314.62,19813.55,24758.58
h_1,4.89,8.01,6.91,6.71,10.84,28.49,2926.14,2153.79,2256.43,2135.15,3330.97,3260.33,6577.71,,9087.49,21465.7
g_1,5.47,3.33,3.92,6.81,8.7,31.1,662.79,5008.96,1359.72,1942.46,3088.4,4281.74,4479.5,9927.94,11300.1,
c_0,4.85,4.46,7.95,,9.64,29.89,597.77,1484.76,4581.1,2494.58,3851.33,3375.94,6989.7,8418.69,10911.44,14212.17
d_0,,4.24,5.72,12.91,12.29,34.22,800.32,1102.54,1301.38,5138.16,2508.6,4232.98,7253.68,9021.0,9619.51,8175.54
b_0,4.5,4.17,5.65,10.07,,24.13,729.75,1199.29,1447.12,1923.53,6239.2,3489.12,7081.21,7429.64,,11344.43
f_0,3.03,,3.88,5.18,9.96,22.67,714.69,1019.86,1805.62,1590.72,1946.57,8419.82,4448.73,5563.58,16710.73,13070.38
a_0,2.4,3.37,3.96,6.22,10.35,,471.57,915.58,1040.72,1158.4,1630.66,2606.45,13462.01,6720.75,,8169.23
h_0,3.57,4.97,5.0,4.78,8.66,21.8,,1032.25,1501.02,1703.06,1768.28,2954.27,5610.37,,5974.54,13120.5
e_0,2.73,1.97,,4.35,10.13,15.14,425.81,652.71,966.27,1309.6,,1868.77,,6562.05,19614.41,8588.07
g_0,3.63,2.86,3.59,4.75,7.19,15.37,442.99,,1096.46,1785.66,1602.97,3135.55,4283.3,6406.94,7525.87,
