,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.62,1.07,0.57,0.62,0.57,0.41,0.8,0.89,0.91,0.88,0.95,0.29,0.92,0.89,0.76,0.8
e_1,0.75,2.75,0.52,0.63,0.61,0.66,0.88,1.6,0.82,0.77,1.14,0.9,1.11,0.89,0.55,0.95
d_1,0.64,0.62,3.21,0.5,0.61,0.51,0.8,0.4,1.9,0.86,1.04,1.27,1.04,1.22,1.0,1.1
c_1,0.58,0.55,0.64,3.17,1.14,0.58,0.79,0.79,0.29,0.79,0.69,0.87,0.86,0.98,0.99,0.87
b_1,0.54,0.61,0.48,0.65,3.37,1.17,1.08,0.95,0.78,0.85,0.43,1.14,1.01,0.57,0.88,1.05
a_1,0.62,0.59,0.82,0.64,0.48,4.94,0.91,0.91,0.81,1.08,0.74,1.02,0.96,0.34,1.16,0.88
h_1,1.09,0.53,0.85,0.79,0.61,0.63,3.06,1.02,1.01,1.4,1.15,1.0,0.49,1.37,1.16,1.5
d_0,0.79,0.58,0.4,1.53,0.7,0.7,1.28,2.29,0.87,1.18,1.03,1.14,1.25,1.16,1.18,1.05
c_0,0.95,0.82,0.79,0.52,0.5,0.75,1.17,0.91,2.48,1.18,2.27,1.2,1.22,1.62,1.42,1.26
g_1,0.61,0.67,1.26,0.84,0.61,0.49,0.95,1.08,0.95,3.88,1.22,1.97,1.12,0.84,1.24,0.63
b_0,0.9,0.61,0.99,0.9,0.25,0.59,1.17,1.41,1.07,1.03,2.64,0.97,1.17,2.59,1.19,1.14
f_0,0.5,0.46,1.02,0.97,0.75,0.62,1.48,1.04,1.49,1.13,1.28,3.17,1.2,1.32,2.56,1.42
h_0,1.15,0.69,0.85,0.68,0.69,0.94,0.48,1.01,0.97,1.44,1.16,1.13,0.66,0.81,1.06,1.55
a_0,0.9,0.7,0.86,0.85,0.66,0.22,1.38,1.07,1.39,1.16,1.35,1.08,1.23,3.48,1.04,1.21
e_0,0.72,0.38,0.88,0.9,0.74,0.85,1.54,1.1,1.33,1.02,1.28,1.02,1.25,1.19,3.63,1.56
g_0,0.76,0.52,1.45,0.73,0.56,0.85,1.08,0.8,1.24,0.73,1.54,1.75,1.17,1.09,1.42,0.82
